"cluster","cells","celltype_subtype","annotation_confidence"
"0",12220,"Luminal_ERplus_Cancer","High"
"1",10585,"NK","High"
"2",9438,"CD4_T","High"
"3",7069,"Treg","High"
"4",6012,"Activated_Cytotoxic_T","High"
"5",5683,"FOLR2_Resident_Macrophage","High"
"6",4606,"Basal_Epithelial","High"
"7",4384,"Luminal_Epithelial","High"
"8",3936,"ACKR1_Endothelial","High"
"9",3731,"Cycling_Lineage_Unresolved","Low"
"10",3266,"Plasmablast_Plasma","High"
"11",3185,"Fibroblast_like_CAF","High"
"12",3046,"Vascular_Endothelial","High"
"13",3014,"B_cell","High"
"14",2935,"LRRC15_Matrix_CAF","High"
"15",2890,"Smooth_Muscle_Perivascular","High"
"16",2797,"FCN1_Inflammatory_Myeloid","High"
"17",2449,"RGS5_Pericyte","High"
"18",1098,"Basal_Epithelial","High"
"19",359,"Cycling_Myeloid_Unresolved","Low"
"20",318,"Plasmacytoid_Dendritic_Cell","High"
"21",140,"Lymphatic_Endothelial","High"
"22",34,"Cycling_Epithelial_LowConfidence","Low"
