"celltype_subtype","annotation_confidence","cells"
"Luminal_ERplus_Cancer","High",12220
"NK","High",10585
"CD4_T","High",9438
"Treg","High",7069
"Activated_Cytotoxic_T","High",6012
"FOLR2_Resident_Macrophage","High",5683
"Basal_Epithelial_Unresolved","Medium",4606
"Luminal_Epithelial","Medium",4384
"ACKR1_Endothelial","High",3936
"Cycling_Lineage_Unresolved","Low",3731
"Plasmablast_Plasma","Medium",3266
"Fibroblast_like_CAF","High",3185
"Vascular_Endothelial","High",3046
"B_cell","High",3014
"LRRC15_Matrix_CAF","High",2935
"Smooth_Muscle_Perivascular","High",2890
"FCN1_Inflammatory_Myeloid","High",2797
"RGS5_Pericyte","High",2449
"Basal_Epithelial","High",1098
"Cycling_Myeloid_Unresolved","Low",359
"Plasmacytoid_Dendritic_Cell","High",318
"Lymphatic_Endothelial","High",140
"Cycling_Epithelial_LowConfidence","Low",34
