"cluster","program","marker_overlap"
"0","Luminal_Epithelial",3
"0","Epithelial",2
"0","T_cell",0
"0","Cytotoxic_T_NK",0
"0","B_cell",0
"1","Cytotoxic_T_NK",7
"1","T_cell",5
"1","Dendritic",1
"1","B_cell",0
"1","Plasma",0
"10","Plasma",6
"10","B_cell",1
"10","T_cell",0
"10","Cytotoxic_T_NK",0
"10","Macrophage",0
"11","CAF_Fibroblast",2
"11","T_cell",0
"11","Cytotoxic_T_NK",0
"11","B_cell",0
"11","Plasma",0
"12","Endothelial",4
"12","ACKR1_Endothelial",1
"12","T_cell",0
"12","Cytotoxic_T_NK",0
"12","B_cell",0
"13","B_cell",5
"13","T_cell",0
"13","Cytotoxic_T_NK",0
"13","Plasma",0
"13","Macrophage",0
"14","CAF_Fibroblast",8
"14","LRRC15_CAF",5
"14","Lymphatic_Endothelial",1
"14","T_cell",0
"14","Cytotoxic_T_NK",0
"15","Smooth_Muscle",5
"15","Pericyte",4
"15","T_cell",0
"15","Cytotoxic_T_NK",0
"15","B_cell",0
"16","Inflammatory_Myeloid",4
"16","Macrophage",2
"16","B_cell",1
"16","Dendritic",1
"16","T_cell",0
"17","Pericyte",4
"17","CAF_Fibroblast",2
"17","Smooth_Muscle",1
"17","T_cell",0
"17","Cytotoxic_T_NK",0
"18","Smooth_Muscle",4
"18","Basal_Epithelial",3
"18","Epithelial",1
"18","T_cell",0
"18","Cytotoxic_T_NK",0
"19","Cycling",7
"19","Macrophage",4
"19","T_cell",0
"19","Cytotoxic_T_NK",0
"19","B_cell",0
"2","T_cell",6
"2","Cytotoxic_T_NK",0
"2","B_cell",0
"2","Plasma",0
"2","Macrophage",0
"20","Plasma",2
"20","Cytotoxic_T_NK",1
"20","Dendritic",1
"20","T_cell",0
"20","B_cell",0
"21","Lymphatic_Endothelial",5
"21","Endothelial",1
"21","T_cell",0
"21","Cytotoxic_T_NK",0
"21","B_cell",0
"22","Cycling",7
"22","Macrophage",4
"22","T_cell",0
"22","Cytotoxic_T_NK",0
"22","B_cell",0
"3","T_cell",5
"3","Cytotoxic_T_NK",0
"3","B_cell",0
"3","Plasma",0
"3","Macrophage",0
"4","T_cell",6
"4","Cytotoxic_T_NK",1
"4","B_cell",0
"4","Plasma",0
"4","Macrophage",0
"5","Macrophage",7
"5","Inflammatory_Myeloid",3
"5","T_cell",0
"5","Cytotoxic_T_NK",0
"5","B_cell",0
"6","Basal_Epithelial",4
"6","Epithelial",3
"6","Luminal_Epithelial",2
"6","Inflammatory_Myeloid",1
"6","T_cell",0
"7","Epithelial",5
"7","Luminal_Epithelial",5
"7","T_cell",0
"7","Cytotoxic_T_NK",0
"7","B_cell",0
"8","ACKR1_Endothelial",5
"8","Endothelial",4
"8","T_cell",0
"8","Cytotoxic_T_NK",0
"8","B_cell",0
"9","Cycling",9
"9","T_cell",0
"9","Cytotoxic_T_NK",0
"9","B_cell",0
"9","Plasma",0
