"clinical_group","comparison_celltype","cells","percentage"
"ER_Positive","Basal_Epithelial",1602,4.54777721001533
"ER_Positive","Cycling",470,1.33424175325044
"ER_Positive","Endothelial",4984,14.1486402089366
"ER_Positive","Fibroblast_Stromal",2410,6.8415375007097
"ER_Positive","Immune",7577,21.5096803497417
"ER_Positive","Luminal_Epithelial",10523,29.8728212116051
"ER_Positive","Other_Unresolved",4440,12.6043263498552
"ER_Positive","Perivascular",3220,9.14097541588599
"HER2_Positive","Basal_Epithelial",861,4.65405405405405
"HER2_Positive","Cycling",373,2.01621621621622
"HER2_Positive","Endothelial",974,5.26486486486487
"HER2_Positive","Fibroblast_Stromal",1334,7.21081081081081
"HER2_Positive","Immune",7032,38.0108108108108
"HER2_Positive","Luminal_Epithelial",1350,7.2972972972973
"HER2_Positive","Other_Unresolved",5673,30.6648648648649
"HER2_Positive","Perivascular",903,4.88108108108108
"Normal","Basal_Epithelial",4174,17.000651678071
"Normal","Fibroblast_Stromal",44,0.17921146953405
"Normal","Luminal_Epithelial",13351,54.3784620397524
"Normal","Myoepithelial",6981,28.4335288367546
"Normal","Other_Unresolved",2,0.00814597588791137
"TNBC","Basal_Epithelial",3241,8.21150776558818
"TNBC","Cycling",2922,7.40327852238466
"TNBC","Endothelial",1164,2.94914996579594
"TNBC","Fibroblast_Stromal",2376,6.0199143631711
"TNBC","Immune",18482,46.8266234259799
"TNBC","Luminal_Epithelial",4731,11.9866224125263
"TNBC","Other_Unresolved",5337,13.5220046112139
"TNBC","Perivascular",1216,3.08089893334009
