"clinical_group","comparison_celltype","cells","percentage","normal_percentage","percentage_difference"
"ER_Positive","Basal_Epithelial",1602,4.54777721001533,17.000651678071,-12.4528744680557
"ER_Positive","Cycling",470,1.33424175325044,0,1.33424175325044
"ER_Positive","Endothelial",4984,14.1486402089366,0,14.1486402089366
"ER_Positive","Fibroblast_Stromal",2410,6.8415375007097,0.17921146953405,6.66232603117565
"ER_Positive","Immune",7577,21.5096803497417,0,21.5096803497417
"ER_Positive","Luminal_Epithelial",10523,29.8728212116051,54.3784620397524,-24.5056408281473
"ER_Positive","Other_Unresolved",4440,12.6043263498552,0.00814597588791137,12.5961803739673
"ER_Positive","Perivascular",3220,9.14097541588599,0,9.14097541588599
"HER2_Positive","Basal_Epithelial",861,4.65405405405405,17.000651678071,-12.346597624017
"HER2_Positive","Cycling",373,2.01621621621622,0,2.01621621621622
"HER2_Positive","Endothelial",974,5.26486486486487,0,5.26486486486487
"HER2_Positive","Fibroblast_Stromal",1334,7.21081081081081,0.17921146953405,7.03159934127676
"HER2_Positive","Immune",7032,38.0108108108108,0,38.0108108108108
"HER2_Positive","Luminal_Epithelial",1350,7.2972972972973,54.3784620397524,-47.0811647424551
"HER2_Positive","Other_Unresolved",5673,30.6648648648649,0.00814597588791137,30.656718888977
"HER2_Positive","Perivascular",903,4.88108108108108,0,4.88108108108108
"TNBC","Basal_Epithelial",3241,8.21150776558818,17.000651678071,-8.78914391248285
"TNBC","Cycling",2922,7.40327852238466,0,7.40327852238466
"TNBC","Endothelial",1164,2.94914996579594,0,2.94914996579594
"TNBC","Fibroblast_Stromal",2376,6.0199143631711,0.17921146953405,5.84070289363705
"TNBC","Immune",18482,46.8266234259799,0,46.8266234259799
"TNBC","Luminal_Epithelial",4731,11.9866224125263,54.3784620397524,-42.3918396272261
"TNBC","Other_Unresolved",5337,13.5220046112139,0.00814597588791137,13.513858635326
"TNBC","Perivascular",1216,3.08089893334009,0,3.08089893334009
