"gene","pathway","direction"
"HSPA1A","negative regulation of inclusion body assembly","UP"
"DNAJB1","negative regulation of inclusion body assembly","UP"
"DNAJA4","negative regulation of inclusion body assembly","UP"
"HSPA1B","negative regulation of inclusion body assembly","UP"
"MYB","positive regulation of miRNA transcription","UP"
"FOS","positive regulation of miRNA transcription","UP"
"EGR1","positive regulation of miRNA transcription","UP"
"AR","positive regulation of miRNA transcription","UP"
"FOXA1","positive regulation of miRNA transcription","UP"
"SREBF1","positive regulation of miRNA transcription","UP"
"MYB","positive regulation of miRNA metabolic process","UP"
"FOS","positive regulation of miRNA metabolic process","UP"
"EGR1","positive regulation of miRNA metabolic process","UP"
"AR","positive regulation of miRNA metabolic process","UP"
"FOXA1","positive regulation of miRNA metabolic process","UP"
"SREBF1","positive regulation of miRNA metabolic process","UP"
"HSPA1A","regulation of inclusion body assembly","UP"
"DNAJB1","regulation of inclusion body assembly","UP"
"DNAJA4","regulation of inclusion body assembly","UP"
"HSPA1B","regulation of inclusion body assembly","UP"
"EDEM3","response to unfolded protein","UP"
"CREB3L4","response to unfolded protein","UP"
"HSPA1A","response to unfolded protein","UP"
"DNAJB1","response to unfolded protein","UP"
"DNAJB4","response to unfolded protein","UP"
"CREB3L1","response to unfolded protein","UP"
"ATF3","response to unfolded protein","UP"
"ERMP1","response to unfolded protein","UP"
"ATP7A","cellular response to oxidative stress","UP"
"MYB","cellular response to oxidative stress","UP"
"KLF2","cellular response to oxidative stress","UP"
"DAPK1","cellular response to oxidative stress","UP"
"FOS","cellular response to oxidative stress","UP"
"HSPA1A","cellular response to oxidative stress","UP"
"MB","cellular response to oxidative stress","UP"
"ALB","cellular response to oxidative stress","UP"
"HSPA1B","cellular response to oxidative stress","UP"
"ERMP1","cellular response to oxidative stress","UP"
"MYB","regulation of miRNA transcription","UP"
"FOS","regulation of miRNA transcription","UP"
"EGR1","regulation of miRNA transcription","UP"
"AR","regulation of miRNA transcription","UP"
"FOXA1","regulation of miRNA transcription","UP"
"SREBF1","regulation of miRNA transcription","UP"
"MYB","miRNA transcription","UP"
"FOS","miRNA transcription","UP"
"EGR1","miRNA transcription","UP"
"AR","miRNA transcription","UP"
"FOXA1","miRNA transcription","UP"
"SREBF1","miRNA transcription","UP"
"EDEM3","response to topologically incorrect protein","UP"
