"gene","celltype","group1","group2","comparison","logFC","logCPM","F","PValue","FDR","direction","immune_flag","luminal_flag","epithelial_flag"
"SERPINB4","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-17.1147617074804,8.46374935648229,54.4888545977495,8.07286455341252e-05,0.0176508409119218,"Normal_higher",FALSE,FALSE,FALSE
"SERPINB3","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-15.1696176603583,6.52558161784308,53.217299647334,8.77027897362084e-05,0.0176621449093916,"Normal_higher",FALSE,FALSE,FALSE
"SERPINB7","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-14.4603631236789,5.82212238522029,31.2180681549149,0.0005324341591046,0.0322464671269451,"Normal_higher",FALSE,FALSE,FALSE
"CXCL5","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-13.8856869686741,5.2544933470076,55.3019749304554,7.66309735239456e-05,0.0175592481613378,"Normal_higher",FALSE,FALSE,FALSE
"CYP1A1","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-13.5664997704598,4.93982833291761,26.0706924396187,0.00094566870532064,0.0403639835300421,"Normal_higher",FALSE,FALSE,FALSE
"OVOS2","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-11.8867824892606,8.57161778754897,23.9565543790949,0.00034729467956894,0.0275244246703883,"Normal_higher",FALSE,FALSE,FALSE
"AC005152.3","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-11.671978773689,3.09974464423842,39.6473680466092,0.000241522260229826,0.0245087453536532,"Normal_higher",FALSE,FALSE,FALSE
"HMGA2","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-11.6662638208327,3.10272015017544,22.5014762505888,0.00148925427721104,0.0458131168596374,"Normal_higher",FALSE,FALSE,FALSE
"RNASE7","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-10.9676233064298,2.43621630700911,50.1635914711993,0.000107890618706554,0.018541570670083,"Normal_higher",FALSE,FALSE,FALSE
"PRSS3","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-10.19331163346,4.78058238051884,40.3228143050549,3.08304991510419e-05,0.0144680790356663,"Normal_higher",FALSE,FALSE,FALSE
"AKR1C1","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-9.9582205588027,7.81752850550678,21.9142978284615,0.000496554151985683,0.0316365550199269,"Normal_higher",FALSE,FALSE,FALSE
"LINC01589","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-9.5636799117269,1.13872057802055,44.4233379536276,0.000164714763786915,0.0216862966117358,"Normal_higher",FALSE,FALSE,FALSE
"TNFAIP6","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-9.52157143924904,6.29210346356187,19.7896025342067,0.00076705558222138,0.0367432302683086,"Normal_higher",FALSE,FALSE,FALSE
"DIO1","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",9.49180649621615,3.48813793717888,47.0968907527123,6.5574107057908e-06,0.0077860310207576,"HER2_Positive_higher",FALSE,FALSE,FALSE
"LAPTM5","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",9.27480156787835,3.47917579957133,52.286669547922,3.3599250846349e-06,0.00487599794782404,"HER2_Positive_higher",TRUE,FALSE,FALSE
"KRT6B","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-9.18012754124701,8.63480723094578,48.7119797173684,1.35079336719164e-05,0.0126019372634929,"Normal_higher",FALSE,FALSE,TRUE
"PTPRC","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",8.9117429985571,3.31628836809687,24.9659880265294,0.000176077493076942,0.0216957371422448,"HER2_Positive_higher",TRUE,FALSE,FALSE
"IL7R","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",8.78989104595254,4.36893911484663,35.882325116658,5.27950583881546e-05,0.0153005002815531,"HER2_Positive_higher",TRUE,FALSE,FALSE
"PI3","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-8.70747527622106,10.3066805726811,22.8893457288224,0.000560358065222189,0.0328521049934423,"Normal_higher",FALSE,FALSE,FALSE
"ZPLD1","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-8.31720800808908,0.0227535476487124,35.7925312640907,0.000343319514502482,0.0275244246703883,"Normal_higher",FALSE,FALSE,FALSE
"AKR1C3","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-8.28122318398351,8.12678612939689,17.3083794495063,0.00135579153546854,0.0449441452912552,"Normal_higher",FALSE,FALSE,FALSE
"MUCL1","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",8.25473156822557,11.8227398180035,35.2610270601572,9.91855108963162e-05,0.0179925271918998,"HER2_Positive_higher",FALSE,FALSE,FALSE
"ATP6V0C","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",8.20734847272152,6.91238801891291,31.8878344825391,0.000152780187312295,0.0216862966117358,"HER2_Positive_higher",FALSE,FALSE,FALSE
"CYTIP","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",8.07533900099333,2.87845962528662,31.5006963376221,6.94018080612314e-05,0.0171029625488253,"HER2_Positive_higher",FALSE,FALSE,FALSE
"LINC01198","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-8.02266036595789,2.91066918230457,24.066642389708,0.000285605042914171,0.0262696300387464,"Normal_higher",FALSE,FALSE,FALSE
"SAA1","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-7.95277440467172,11.3808089045741,29.782656590954,0.000202178729993819,0.0231636525653445,"Normal_higher",FALSE,FALSE,FALSE
"VNN1","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-7.89983697670549,5.17389600888927,41.9499461170889,3.01620767346808e-05,0.0144680790356663,"Normal_higher",FALSE,FALSE,FALSE
"KRT6A","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-7.68180213764108,5.35880878419405,19.3897195586215,0.00083288136955996,0.0381864465156742,"Normal_higher",FALSE,FALSE,TRUE
"NKAPL","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-7.66047422382442,2.33772298381075,43.56186442258,2.11328921026472e-05,0.0141451235792237,"Normal_higher",FALSE,FALSE,FALSE
