"gene","celltype","group1","group2","comparison","logFC","logCPM","F","PValue","FDR","direction","immune_flag","luminal_flag","epithelial_flag","rank"
"SERPINB4","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-17.1147617074804,8.46374935648229,54.4888545977495,8.07286455341252e-05,0.0176508409119218,"DOWN",FALSE,FALSE,FALSE,1
"SERPINB3","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-15.1696176603583,6.52558161784308,53.217299647334,8.77027897362084e-05,0.0176621449093916,"DOWN",FALSE,FALSE,FALSE,2
"SERPINB7","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-14.4603631236789,5.82212238522029,31.2180681549149,0.0005324341591046,0.0322464671269451,"DOWN",FALSE,FALSE,FALSE,3
"CXCL5","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-13.8856869686741,5.2544933470076,55.3019749304554,7.66309735239456e-05,0.0175592481613378,"DOWN",FALSE,FALSE,FALSE,4
"CYP1A1","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-13.5664997704598,4.93982833291761,26.0706924396187,0.00094566870532064,0.0403639835300421,"DOWN",FALSE,FALSE,FALSE,5
"OVOS2","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-11.8867824892606,8.57161778754897,23.9565543790949,0.00034729467956894,0.0275244246703883,"DOWN",FALSE,FALSE,FALSE,6
"AC005152.3","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-11.671978773689,3.09974464423842,39.6473680466092,0.000241522260229826,0.0245087453536532,"DOWN",FALSE,FALSE,FALSE,7
"HMGA2","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-11.6662638208327,3.10272015017544,22.5014762505888,0.00148925427721104,0.0458131168596374,"DOWN",FALSE,FALSE,FALSE,8
"RNASE7","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-10.9676233064298,2.43621630700911,50.1635914711993,0.000107890618706554,0.018541570670083,"DOWN",FALSE,FALSE,FALSE,9
"PRSS3","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-10.19331163346,4.78058238051884,40.3228143050549,3.08304991510419e-05,0.0144680790356663,"DOWN",FALSE,FALSE,FALSE,10
