"gene","celltype","group1","group2","comparison","logFC","logCPM","F","PValue","FDR","direction","immune_flag","luminal_flag","epithelial_flag","rank"
"DIO1","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",9.49180649621615,3.48813793717888,47.0968907527123,6.5574107057908e-06,0.0077860310207576,"UP",FALSE,FALSE,FALSE,1
"MUCL1","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",8.25473156822557,11.8227398180035,35.2610270601572,9.91855108963162e-05,0.0179925271918998,"UP",FALSE,FALSE,FALSE,2
"ATP6V0C","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",8.20734847272152,6.91238801891291,31.8878344825391,0.000152780187312295,0.0216862966117358,"UP",FALSE,FALSE,FALSE,3
"CYTIP","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",8.07533900099333,2.87845962528662,31.5006963376221,6.94018080612314e-05,0.0171029625488253,"UP",FALSE,FALSE,FALSE,4
"GPR183","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",7.43276172683135,1.95971123141511,22.9802763245538,0.000289279940335168,0.02631250909761,"UP",FALSE,FALSE,FALSE,5
"CYSLTR1","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",7.21354041551823,3.10015046494832,29.9093978602984,0.000134695363397639,0.0206475065729336,"UP",FALSE,FALSE,FALSE,6
"LRRC26","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",7.1723817430159,6.6730105374099,41.335367033815,5.01713842251088e-05,0.0153005002815531,"UP",FALSE,FALSE,FALSE,7
"PNMT","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",6.94289774830707,5.09955790941858,25.7383039958941,0.000362668356758653,0.0280284698676022,"UP",FALSE,FALSE,FALSE,8
"CTB-131K11.1","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",6.90851809199601,2.84364592745144,24.2782433622878,0.000336661685856518,0.0275244246703883,"UP",FALSE,FALSE,FALSE,9
"ALB","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",6.52148246346892,0.0287359618399096,38.4612719012353,1.77468052660129e-05,0.0139684146224573,"UP",FALSE,FALSE,FALSE,10
