chembl_id,pref_name,max_phase,match_status,pert_id,pert_iname
CHEMBL584838,NA,NA,search_match_requires_review,BRD-K07859598,GW-5074
CHEMBL380413,NA,NA,search_match_requires_review,BRD-K04923131,GSK-3-inhibitor-IX
CHEMBL4303385,NA,NA,search_match_requires_review,BRD-K90382497,GW-843682X
CHEMBL477772,PAZOPANIB,4,exact_name_match,BRD-K74514084,pazopanib
CHEMBL5993064,NA,NA,search_match_requires_review,BRD-K22096725,ALW-II-49-7
CHEMBL450786,PHA-665752,NA,exact_name_match,BRD-K95435023,PHA-665752
CHEMBL1230020,PLX-4720,NA,exact_name_match,BRD-K16478699,PLX-4720
CHEMBL460702,BMS-777607,2,exact_name_match,BRD-K40738845,BMS-777607
CHEMBL572881,MOTESANIB,3,exact_name_match,BRD-K99616396,motesanib
CHEMBL3640475,NA,NA,search_match_requires_review,BRD-K68191783,ALW-II-38-3
CHEMBL1336,SORAFENIB,4,exact_name_match,BRD-K49810818,sorafenib
CHEMBL4303658,NA,NA,search_match_requires_review,BRD-K49327517,THZ-2-98-01
CHEMBL1614710,OSI-930,1,exact_name_match,BRD-K25340465,OSI-930
CHEMBL2103882,TIVANTINIB,3,exact_name_match,BRD-K33379087,tivantinib
CHEMBL5303523,NA,NA,search_match_requires_review,BRD-K52721289,XMD-1527
CHEMBL412142,LADUVIGLUSIB,1,search_match_requires_review,BRD-K16189898,CHIR-99021
CHEMBL14762,SELICICLIB,2,search_match_requires_review,BRD-K07691486,roscovitine
CHEMBL189584,PD-173074,NA,exact_name_match,BRD-K97764662,PD-173074
CHEMBL5303523,NA,NA,search_match_requires_review,BRD-K86274953,XMD-132
CHEMBL4303308,NA,NA,search_match_requires_review,BRD-K04833372,GSK-1904529A
CHEMBL576982,QUIZARTINIB,4,exact_name_match,BRD-K93918653,quizartinib
CHEMBL1852688,INFIGRATINIB,4,search_match_requires_review,BRD-K42728290,NVP-BGJ398
CHEMBL4536936,NA,NA,search_match_requires_review,BRD-K29983336,rondual-kinase-inhibitor
CHEMBL494089,GSK-690693,1,exact_name_match,BRD-A87137733,GSK-690693
CHEMBL3360203,PILARALISIB,2,search_match_requires_review,BRD-K04801023,SAR-245408
CHEMBL1908391,MASITINIB,3,exact_name_match,BRD-K71035033,masitinib
CHEMBL601719,CRIZOTINIB,4,exact_name_match,BRD-K78431006,crizotinib
CHEMBL2013119,RIGOSERTIB SODIUM,3,search_match_requires_review,BRD-K55187425,ON-01910
CHEMBL1091644,LINSITINIB,3,exact_name_match,BRD-K07667918,linsitinib
CHEMBL223360,LINIFANIB,3,exact_name_match,BRD-K99749624,linifanib
CHEMBL255863,NILOTINIB,4,exact_name_match,BRD-K81528515,nilotinib
CHEMBL237830,NA,NA,search_match_requires_review,BRD-K66847579,WZ-7043
CHEMBL2170016,NA,NA,search_match_requires_review,BRD-K93747373,HG-5-113-01
CHEMBL1236107,SGX-523,1,search_match_requires_review,BRD-K19477839,SGX523
CHEMBL1909414,NA,NA,search_match_requires_review,BRD-K01253243,SB-590885
CHEMBL259551,NA,NA,search_match_requires_review,BRD-K68756823,FR-180204
CHEMBL502835,NINTEDANIB,4,exact_name_match,BRD-K49075727,nintedanib
CHEMBL7064,NA,NA,search_match_requires_review,BRD-K01567962,pyrazolanthrone
CHEMBL3663550,NA,NA,search_match_requires_review,BRD-K49468759,KIN001-266
CHEMBL2139930,NA,NA,search_match_requires_review,BRD-K67578145,GDC-0879
CHEMBL5303350,NA,NA,search_match_requires_review,BRD-K04853698,LDN-193189
CHEMBL1908394,GSK-461364,1,exact_name_match,BRD-K92428232,GSK-461364
CHEMBL1289494,TIVOZANIB,4,exact_name_match,BRD-K53414658,tivozanib
CHEMBL941,IMATINIB,4,exact_name_match,BRD-K92723993,imatinib
CHEMBL5723360,NA,NA,search_match_requires_review,BRD-K09991945,GSK-3-inhibitor-II
CHEMBL102714,SB-216763,NA,exact_name_match,BRD-K59184148,SB-216763
CHEMBL97162,NA,NA,search_match_requires_review,BRD-K82091397,SB-239063
CHEMBL4303229,NA,NA,search_match_requires_review,BRD-K15592317,CP-466722
CHEMBL5303523,NA,NA,search_match_requires_review,BRD-K05870596,XMD-1499
CHEMBL5303414,NA,NA,search_match_requires_review,BRD-K59067695,SU-11274
CHEMBL1789941,RUXOLITINIB,4,exact_name_match,BRD-K53972329,ruxolitinib
CHEMBL2133806,JNJ-38877605,1,exact_name_match,BRD-K02123250,JNJ-38877605
CHEMBL3991927,HMN-214,1,exact_name_match,BRD-K70511574,HMN-214
CHEMBL10,SB-203580,NA,exact_name_match,BRD-A37704979,SB-203580
CHEMBL2140173,NA,NA,search_match_requires_review,BRD-A90451247,KU-60019
CHEMBL1873475,IBRUTINIB,4,exact_name_match,BRD-A35869383,ibrutinib
CHEMBL4797365,NA,NA,search_match_requires_review,BRD-K98333955,NVP-AEW541
CHEMBL521686,OLAPARIB,4,exact_name_match,BRD-K02113016,olaparib
CHEMBL2204021,NA,NA,search_match_requires_review,BRD-K53281329,SYK-inhibitor
