pert_id,pert_iname,cell_lines_tested,positive_cell_lines,negative_cell_lines,median_score,mean_score,min_score,max_score,sd_score,positive_fraction,negative_fraction,reproducibility_score,tier,robust_rank,canonical_smiles,inchi_key,inchi_key_prefix,pubchem_cid,chembl_id,pref_name,max_phase,match_status,target_chembl_id,mechanism_of_action,action_type,disease_signature_genes,core_signature_genes,disease_up_genes,disease_down_genes
BRD-K07859598,GW-5074,5,4,1,0.44422790006365903,0.29411843877693006,-0.528392371005824,0.6631113603042174,0.44903672768298086,0.8,0.2,0.35538232005092724,Tier 2 — Strong 4/5+,1,NA,NA,NA,NA,CHEMBL584838,NA,NA,search_match_requires_review,NA,NA,NA,454,10,214,240
BRD-K04923131,GSK-3-inhibitor-IX,5,5,0,0.3161703894067659,0.368306266047739,0.19301040450707324,0.6234074370509828,0.16374977876534424,1,0,0.3161703894067659,Tier 1 — Consistent 5/5,2,NA,NA,NA,NA,CHEMBL380413,NA,NA,search_match_requires_review,NA,NA,NA,454,10,214,240
BRD-K90382497,GW-843682X,5,5,1,0.29168138767668006,0.2796214745414621,-0.254338233128161,0.905491965668046,0.31907552700623815,1,0.2,0.29168138767668006,Tier 2 — Strong 4/5+,3,NA,NA,NA,NA,CHEMBL4303385,NA,NA,search_match_requires_review,NA,NA,NA,454,10,214,240
BRD-K74514084,pazopanib,5,5,0,0.2655092141884459,0.27092270914548106,0.0897465960935676,0.47783201579571,0.1415179541588359,1,0,0.2655092141884459,Tier 1 — Consistent 5/5,4,NA,NA,NA,NA,CHEMBL477772,PAZOPANIB,4,exact_name_match,NA,NA,NA,454,10,214,240
BRD-K22096725,ALW-II-49-7,5,4,1,0.3282946220983697,0.24889593765976264,-0.18758994755541075,0.4868795406259359,0.27078550787543265,0.8,0.2,0.26263569767869577,Tier 2 — Strong 4/5+,5,NA,NA,NA,NA,CHEMBL5993064,NA,NA,search_match_requires_review,NA,NA,NA,454,10,214,240
BRD-K95435023,PHA-665752,5,5,0,0.26008158848349655,0.2602698099097105,0.09921242373422424,0.4453518680805004,0.12900286257459884,1,0,0.26008158848349655,Tier 1 — Consistent 5/5,6,NA,NA,NA,NA,CHEMBL450786,PHA-665752,NA,exact_name_match,NA,NA,NA,454,10,214,240
BRD-K16478699,PLX-4720,5,5,1,0.2531988268438856,0.1908684817340041,-0.1659533357937114,0.2819963824759967,0.15944804557220352,1,0.2,0.2531988268438856,Tier 2 — Strong 4/5+,7,NA,NA,NA,NA,CHEMBL1230020,PLX-4720,NA,exact_name_match,NA,NA,NA,454,10,214,240
BRD-K40738845,BMS-777607,5,4,1,0.3140217565347384,0.14297681822064165,-0.4145749582706126,0.39302497460850894,0.33774899527526747,0.8,0.2,0.25121740522779074,Tier 2 — Strong 4/5+,8,NA,NA,NA,NA,CHEMBL460702,BMS-777607,2,exact_name_match,CHEMBL3717,Hepatocyte growth factor receptor inhibitor,INHIBITOR,454,10,214,240
BRD-K99616396,motesanib,5,4,1,0.30382114566083906,0.24127577087700225,-0.1123334384427592,0.4191123848207521,0.182751381690227,0.8,0.2,0.24305691652867129,Tier 2 — Strong 4/5+,9,NA,NA,NA,NA,CHEMBL572881,MOTESANIB,3,exact_name_match,CHEMBL1936,Stem cell growth factor receptor inhibitor,INHIBITOR,454,10,214,240
BRD-K99616396,motesanib,5,4,1,0.30382114566083906,0.24127577087700225,-0.1123334384427592,0.4191123848207521,0.182751381690227,0.8,0.2,0.24305691652867129,Tier 2 — Strong 4/5+,9,NA,NA,NA,NA,CHEMBL572881,MOTESANIB,3,exact_name_match,CHEMBL2041,Tyrosine-protein kinase receptor RET inhibitor,INHIBITOR,454,10,214,240
