final_rank,pert_id,pert_iname,robust_rank,tier,cell_lines_tested,positive_cell_lines,negative_cell_lines,median_score,mean_score,min_score,max_score,reproducibility_score,positive_fraction,chembl_id,pref_name,max_phase,identity_confidence,mechanism_status_corrected,mechanism_record_count,unique_targets,target_chembl_ids,mechanisms,action_types,connectivity_score_norm,reproducibility_norm,positive_fraction_norm,identity_score,mechanism_score,final_evidence_score,final_priority,chembl_id_annotation,pref_name_annotation,max_phase_annotation,match_status,target_chembl_id,mechanism_of_action,action_type
1,BRD-K40738845,BMS-777607,8,Tier 2 — Strong 4/5+,5,4,1,0.3140217565347384,0.14297681822064165,-0.4145749582706126,0.39302497460850894,0.25121740522779074,0.8,CHEMBL460702,BMS-777607,2,HIGH,annotated,1,1,CHEMBL3717,Hepatocyte growth factor receptor inhibitor,INHIBITOR,0.9230769230769232,0.8923076923076924,0.4,1,1,0.8746153846153847,PRIORITY_A,CHEMBL460702,BMS-777607,2,exact_name_match,CHEMBL3717,Hepatocyte growth factor receptor inhibitor,INHIBITOR
2,BRD-K99616396,motesanib,9,Tier 2 — Strong 4/5+,5,4,1,0.30382114566083906,0.24127577087700225,-0.1123334384427592,0.4191123848207521,0.24305691652867129,0.8,CHEMBL572881,MOTESANIB,3,HIGH,annotated,4,4,CHEMBL1936;CHEMBL2041;CHEMBL2095227;CHEMBL2095189,Stem cell growth factor receptor inhibitor | Tyrosine-protein kinase receptor RET inhibitor | Vascular endothelial growth factor receptor inhibitor | Platelet-derived growth factor receptor inhibitor,INHIBITOR,0.9076923076923076,0.8769230769230769,0.4,1,1,0.8630769230769232,PRIORITY_A,CHEMBL572881,MOTESANIB,3,exact_name_match,CHEMBL1936;CHEMBL2041;CHEMBL2095227;CHEMBL2095189,Stem cell growth factor receptor inhibitor;Tyrosine-protein kinase receptor RET inhibitor;Vascular endothelial growth factor receptor inhibitor;Platelet-derived growth factor receptor inhibitor,INHIBITOR
4,BRD-K74514084,pazopanib,4,Tier 1 — Consistent 5/5,5,5,0,0.2655092141884459,0.27092270914548106,0.0897465960935676,0.47783201579571,0.2655092141884459,1,CHEMBL477772,PAZOPANIB,4,HIGH,no_mechanism_record,0,0,NA,NA,NA,0.8461538461538461,0.953846153846154,0.8153846153846154,1,0,0.8430769230769231,PRIORITY_B,CHEMBL477772,PAZOPANIB,4,exact_name_match,,,
6,BRD-K25340465,OSI-930,13,Tier 3 — Moderate 3/5+,5,3,2,0.36406774111081,0.0938719089230671,-0.657616320372842,0.4567409368546659,0.21844064466648597,0.6,CHEMBL1614710,OSI-930,1,HIGH,annotated,2,2,CHEMBL1936;CHEMBL2095227,Stem cell growth factor receptor inhibitor | Vascular endothelial growth factor receptor inhibitor,INHIBITOR,0.9692307692307692,0.8153846153846154,0,1,1,0.8384615384615385,PRIORITY_A,CHEMBL1614710,OSI-930,1,exact_name_match,CHEMBL1936;CHEMBL2095227,Stem cell growth factor receptor inhibitor;Vascular endothelial growth factor receptor inhibitor,INHIBITOR
7,BRD-K95435023,PHA-665752,6,Tier 1 — Consistent 5/5,5,5,0,0.26008158848349655,0.2602698099097105,0.09921242373422424,0.4453518680805004,0.26008158848349655,1,CHEMBL450786,PHA-665752,NA,HIGH,no_mechanism_record,0,0,NA,NA,NA,0.8307692307692308,0.9230769230769232,0.8153846153846154,1,0,0.8276923076923077,PRIORITY_B,CHEMBL450786,PHA-665752,NA,exact_name_match,,,
8,BRD-K16478699,PLX-4720,7,Tier 2 — Strong 4/5+,5,5,1,0.2531988268438856,0.1908684817340041,-0.1659533357937114,0.2819963824759967,0.2531988268438856,1,CHEMBL1230020,PLX-4720,NA,HIGH,no_mechanism_record,0,0,NA,NA,NA,0.8153846153846154,0.9076923076923076,0.8153846153846154,1,0,0.8161538461538461,PRIORITY_B,CHEMBL1230020,PLX-4720,NA,exact_name_match,,,
10,BRD-K49810818,sorafenib,11,Tier 3 — Moderate 3/5+,5,3,2,0.3936235697879521,0.2462596945760504,-0.21419834672811455,0.576901727660392,0.23617414187277125,0.6,CHEMBL1336,SORAFENIB,4,HIGH,no_mechanism_record,0,0,NA,NA,NA,0.9846153846153848,0.8461538461538461,0,1,0,0.8038461538461539,PRIORITY_B,CHEMBL1336,SORAFENIB,4,exact_name_match,,,
12,BRD-K33379087,tivantinib,14,Tier 1 — Consistent 5/5,5,5,0,0.213711431585622,0.25011851178186806,0.14092952643648457,0.4762647344152867,0.213711431585622,1,CHEMBL2103882,TIVANTINIB,3,HIGH,annotated,1,1,CHEMBL3717,Hepatocyte growth factor receptor inhibitor,INHIBITOR,0.7384615384615385,0.8,0.8153846153846154,1,1,0.8007692307692308,PRIORITY_B,CHEMBL2103882,TIVANTINIB,3,exact_name_match,CHEMBL3717,Hepatocyte growth factor receptor inhibitor,INHIBITOR
16,BRD-K93918653,quizartinib,21,Tier 2 — Strong 4/5+,5,5,1,0.15511930929665405,0.1982050959541212,-0.08310820816442605,0.5013640066805835,0.15511930929665405,1,CHEMBL576982,QUIZARTINIB,4,HIGH,annotated,5,5,CHEMBL1844;CHEMBL1974;CHEMBL1936;CHEMBL2095189;CHEMBL2041,Macrophage colony stimulating factor receptor inhibitor | Tyrosine-protein kinase receptor FLT3 inhibitor | Stem cell growth factor receptor inhibitor | Platelet-derived growth factor receptor inhibitor | Tyrosine-protein kinase receptor RET inhibitor,INHIBITOR,0.5846153846153846,0.6923076923076923,0.8153846153846154,1,1,0.696923076923077,PRIORITY_B,CHEMBL576982,QUIZARTINIB,4,exact_name_match,CHEMBL1844;CHEMBL1974;CHEMBL1936;CHEMBL2095189;CHEMBL2041,Macrophage colony stimulating factor receptor inhibitor;Tyrosine-protein kinase receptor FLT3 inhibitor;Stem cell growth factor receptor inhibitor;Platelet-derived growth factor receptor inhibitor;Tyrosine-protein kinase receptor RET inhibitor,INHIBITOR
17,BRD-K97764662,PD-173074,18,Tier 2 — Strong 4/5+,5,5,1,0.17988423509591692,0.16723412379255292,-0.1762906081127784,0.455049451336771,0.17988423509591692,1,CHEMBL189584,PD-173074,NA,HIGH,no_mechanism_record,0,0,NA,NA,NA,0.6615384615384615,0.7384615384615385,0.8153846153846154,1,0,0.6969230769230769,PRIORITY_B,CHEMBL189584,PD-173074,NA,exact_name_match,,,
