pert_id,pert_iname,cell_lines_tested,positive_cell_lines,negative_cell_lines,median_score,mean_score,min_score,max_score,sd_score,positive_fraction,negative_fraction,reproducibility_score,tier,robust_rank
BRD-K07859598,GW-5074,5,4,1,0.44422790006365903,0.29411843877693006,-0.528392371005824,0.6631113603042174,0.44903672768298086,0.8,0.2,0.35538232005092724,Tier 2 — Strong 4/5+,1
BRD-K04923131,GSK-3-inhibitor-IX,5,5,0,0.3161703894067659,0.368306266047739,0.19301040450707324,0.6234074370509828,0.16374977876534424,1,0,0.3161703894067659,Tier 1 — Consistent 5/5,2
BRD-K90382497,GW-843682X,5,5,1,0.29168138767668006,0.2796214745414621,-0.254338233128161,0.905491965668046,0.31907552700623815,1,0.2,0.29168138767668006,Tier 2 — Strong 4/5+,3
BRD-K74514084,pazopanib,5,5,0,0.2655092141884459,0.27092270914548106,0.0897465960935676,0.47783201579571,0.1415179541588359,1,0,0.2655092141884459,Tier 1 — Consistent 5/5,4
BRD-K22096725,ALW-II-49-7,5,4,1,0.3282946220983697,0.24889593765976262,-0.18758994755541075,0.4868795406259359,0.27078550787543265,0.8,0.2,0.26263569767869577,Tier 2 — Strong 4/5+,5
BRD-K95435023,PHA-665752,5,5,0,0.26008158848349655,0.2602698099097105,0.09921242373422424,0.4453518680805004,0.12900286257459884,1,0,0.26008158848349655,Tier 1 — Consistent 5/5,6
BRD-K16478699,PLX-4720,5,5,1,0.2531988268438856,0.19086848173400406,-0.1659533357937114,0.2819963824759967,0.15944804557220352,1,0.2,0.2531988268438856,Tier 2 — Strong 4/5+,7
BRD-K40738845,BMS-777607,5,4,1,0.3140217565347384,0.14297681822064165,-0.4145749582706126,0.39302497460850894,0.33774899527526747,0.8,0.2,0.25121740522779074,Tier 2 — Strong 4/5+,8
BRD-K99616396,motesanib,5,4,1,0.30382114566083906,0.24127577087700225,-0.1123334384427592,0.4191123848207521,0.182751381690227,0.8,0.2,0.24305691652867126,Tier 2 — Strong 4/5+,9
BRD-K68191783,ALW-II-38-3,5,4,1,0.29872659510941135,0.14379473253663255,-0.68317635290808,0.41913746902078847,0.4164162182530732,0.8,0.2,0.2389812760875291,Tier 2 — Strong 4/5+,10
BRD-K49810818,sorafenib,5,3,2,0.3936235697879521,0.2462596945760504,-0.21419834672811455,0.576901727660392,0.34756039348735573,0.6,0.4,0.23617414187277125,Tier 3 — Moderate 3/5+,11
BRD-K49327517,THZ-2-98-01,5,4,1,0.28917564798090645,0.20655642113067005,-0.2236783976466873,0.5507389751734311,0.2931159105127375,0.8,0.2,0.23134051838472516,Tier 2 — Strong 4/5+,12
BRD-K25340465,OSI-930,5,3,2,0.36406774111081,0.0938719089230671,-0.657616320372842,0.4567409368546659,0.47936141137900995,0.6,0.4,0.21844064466648597,Tier 3 — Moderate 3/5+,13
BRD-K33379087,tivantinib,5,5,0,0.213711431585622,0.25011851178186806,0.14092952643648457,0.4762647344152867,0.132604448470181,1,0,0.213711431585622,Tier 1 — Consistent 5/5,14
BRD-K52721289,XMD-1527,5,5,0,0.20579944492316693,0.2206632863910568,0.09359300651619716,0.3943830294019987,0.13080598100670707,1,0,0.20579944492316693,Tier 1 — Consistent 5/5,15
BRD-K16189898,CHIR-99021,5,4,1,0.24668063112429697,0.20200228191406305,-0.08639319764752505,0.329023962888225,0.16686049586813245,0.8,0.2,0.19734450489943758,Tier 2 — Strong 4/5+,16
BRD-K07691486,roscovitine,5,4,2,0.24123724880101846,0.10937875503623,-0.5170593663393499,0.38348274965439777,0.3395125744966814,0.8,0.4,0.19298979904081479,Tier 2 — Strong 4/5+,17
BRD-K97764662,PD-173074,5,5,1,0.17988423509591692,0.16723412379255292,-0.1762906081127784,0.455049451336771,0.20578289397092883,1,0.2,0.17988423509591692,Tier 2 — Strong 4/5+,18
BRD-K86274953,XMD-132,5,4,1,0.20926536363049497,0.22104587971228634,-0.01463285784377475,0.5139142838977784,0.22073860294402234,0.8,0.2,0.167412290904396,Tier 2 — Strong 4/5+,19
BRD-K04833372,GSK-1904529A,5,5,1,0.1620425818232706,0.15179970431985823,-0.1015484279337557,0.3488406575844655,0.1790356922638424,1,0.2,0.1620425818232706,Tier 2 — Strong 4/5+,20
BRD-K93918653,quizartinib,5,5,1,0.15511930929665405,0.19820509595412122,-0.08310820816442605,0.5013640066805835,0.21428627795459532,1,0.2,0.15511930929665405,Tier 2 — Strong 4/5+,21
BRD-K42728290,NVP-BGJ398,5,5,0,0.15330785929646512,0.1640520934920849,0.00498461383961999,0.4070284325640745,0.1604435351570743,1,0,0.15330785929646512,Tier 1 — Consistent 5/5,22
BRD-K29983336,rondual-kinase-inhibitor,5,3,2,0.2345101254575288,0.11459263872596416,-0.2796226676413366,0.3907727236128973,0.2702510054139747,0.6,0.4,0.14070607527451728,Tier 3 — Moderate 3/5+,23
BRD-A87137733,GSK-690693,5,3,2,0.23315353117419957,0.1121669847317898,-0.4384835452215593,0.5516076289981013,0.38863146539777793,0.6,0.4,0.13989211870451973,Tier 3 — Moderate 3/5+,24
BRD-K04801023,SAR-245408,5,4,1,0.1747746084279201,0.12970655123071032,-0.03971941281802112,0.22626290157230228,0.11261899524264903,0.8,0.2,0.13981968674233608,Tier 2 — Strong 4/5+,25
BRD-K71035033,masitinib,5,5,0,0.13946666630596513,0.17278545467439288,0.11412024659652918,0.36861141382912666,0.09723813714238995,1,0,0.13946666630596513,Tier 1 — Consistent 5/5,26
BRD-K78431006,crizotinib,5,5,1,0.13492042977449473,0.11106378431792004,-0.06090518646771308,0.28377631722584534,0.11819076015998828,1,0.2,0.13492042977449473,Tier 2 — Strong 4/5+,27
BRD-K55187425,ON-01910,5,3,2,0.2020918862282824,0.15596863797568597,-0.08113528733171052,0.3846344183268796,0.19459352062492494,0.6,0.4,0.12125513173696943,Tier 3 — Moderate 3/5+,28
BRD-K07667918,linsitinib,5,3,2,0.197197354979618,0.15823400096692825,-0.1252240473035385,0.4977245923714533,0.24531944944845951,0.6,0.4,0.1183184129877708,Tier 3 — Moderate 3/5+,29
BRD-K99749624,linifanib,5,4,1,0.13390454862473586,0.1568300471631121,-0.0782509484906955,0.4881620978637856,0.1980451480311839,0.8,0.2,0.1071236388997887,Tier 2 — Strong 4/5+,30
BRD-K81528515,nilotinib,5,4,1,0.13239231519449188,0.07379191306399933,-0.34442146498077236,0.36530301994428904,0.21395982773192923,0.8,0.2,0.10591385215559351,Tier 2 — Strong 4/5+,31
BRD-K66847579,WZ-7043,5,4,1,0.12943157325617413,0.11854551438926747,-0.2046814967603897,0.4065102696827575,0.22845685483252948,0.8,0.2,0.10354525860493931,Tier 2 — Strong 4/5+,32
BRD-K93747373,HG-5-113-01,5,3,2,0.17116155940126684,0.027582701996117866,-0.2633025837456575,0.3014320500994697,0.266574707099304,0.6,0.4,0.1026969356407601,Tier 3 — Moderate 3/5+,33
BRD-K19477839,SGX523,5,4,1,0.1276573741017118,0.13429994780697188,-0.00399906952813449,0.2558097973037562,0.09410083056706489,0.8,0.2,0.10212589928136945,Tier 2 — Strong 4/5+,34
BRD-K01253243,SB-590885,5,3,2,0.16589710135076496,0.1848251414200652,-0.1613868122335157,0.5818608826440771,0.31468560780207444,0.6,0.4,0.09953826081045898,Tier 3 — Moderate 3/5+,35
BRD-K68756823,FR-180204,5,4,2,0.12373427484623808,0.10669197908079533,-0.14505625173494974,0.2912857582739108,0.17245289613577833,0.8,0.4,0.09898741987699047,Tier 2 — Strong 4/5+,36
BRD-K49075727,nintedanib,5,4,1,0.12301843169954484,0.02935982938973024,-0.3724239574427016,0.1790423313020623,0.23100008712639786,0.8,0.2,0.09841474535963587,Tier 2 — Strong 4/5+,37
BRD-K01567962,pyrazolanthrone,5,4,1,0.1133638234296136,0.08122464170686527,-0.15223641701630858,0.19868372791432945,0.1297912445441214,0.8,0.2,0.09069105874369088,Tier 2 — Strong 4/5+,38
BRD-K49468759,KIN001-266,5,3,2,0.15063542151802806,0.08733376785820672,-0.10683428556373842,0.2529106558776021,0.15708705479777693,0.6,0.4,0.09038125291081683,Tier 3 — Moderate 3/5+,39
BRD-K67578145,GDC-0879,5,4,1,0.09837041265814288,0.08208564179771549,-0.5057857178034202,0.4647275061539092,0.32666883059498386,0.8,0.2,0.07869633012651431,Tier 2 — Strong 4/5+,40
BRD-K04853698,LDN-193189,5,4,2,0.09703843040730586,0.14391035453126583,-0.06078101993556446,0.40572254958910114,0.18701259776724538,0.8,0.4,0.0776307443258447,Tier 2 — Strong 4/5+,41
BRD-K92428232,GSK-461364,5,4,1,0.09101742249842062,0.08263635370175862,-0.116761891153011,0.3114346627085606,0.14268248462501046,0.8,0.2,0.0728139379987365,Tier 2 — Strong 4/5+,42
BRD-K53414658,tivozanib,5,3,2,0.12065486529796378,0.049228177760064204,-0.3415970810206368,0.3648998985245189,0.2601483939509595,0.6,0.4,0.07239291917877827,Tier 3 — Moderate 3/5+,43
BRD-K92723993,imatinib,5,4,2,0.08561592729611817,0.16030501726009616,-0.1603561894153253,0.510241043882304,0.23596595664576,0.8,0.4,0.06849274183689454,Tier 2 — Strong 4/5+,44
