pert_id,pert_iname,cell_lines_tested.x,median_cellline_score,mean_cellline_score,best_cellline_score,worst_cellline_score,compound_rank,cell_lines_tested.y,positive_cell_lines,negative_cell_lines,consistent_reversal,robust_rank
BRD-A15079084,phorbol-12-myristate-13-acetate,1,0.9251522370882557,0.9251522370882557,0.9251522370882557,0.9251522370882557,1,1,1,0,TRUE,1
BRD-K91145395,prostratin,1,0.8479239703119459,0.8479239703119459,0.8479239703119459,0.8479239703119459,2,1,1,0,TRUE,2
BRD-A52650764,ingenol,1,0.7944246864203042,0.7944246864203042,0.7944246864203042,0.7944246864203042,3,1,1,0,TRUE,3
BRD-A54927599,KF-38789,1,0.708726237082562,0.708726237082562,0.708726237082562,0.708726237082562,4,1,1,0,TRUE,4
BRD-K75999307,BRD-K75999307,1,0.7000058407078829,0.7000058407078829,0.7000058407078829,0.7000058407078829,5,1,1,0,TRUE,5
BRD-K33086940,JAS07-007,1,0.6886682370676281,0.6886682370676281,0.6886682370676281,0.6886682370676281,6,1,1,0,TRUE,6
BRD-K02558072,BRD-K02558072,1,0.6651648220344065,0.6651648220344065,0.6651648220344065,0.6651648220344065,7,1,1,0,TRUE,7
BRD-K36737713,AG-957,1,0.6527917095395204,0.6527917095395204,0.6527917095395204,0.6527917095395204,8,1,1,0,TRUE,8
BRD-K42098891,protriptyline,1,0.6434440754613853,0.6434440754613853,0.6434440754613853,0.6434440754613853,9,1,1,0,TRUE,9
BRD-K55487965,BRD-K55487965,1,0.6416728503164386,0.6416728503164386,0.6416728503164386,0.6416728503164386,10,1,1,0,TRUE,10
BRD-K04676863,BRD-K04676863,1,0.6414173241249264,0.6414173241249264,0.6414173241249264,0.6414173241249264,11,1,1,0,TRUE,11
BRD-K51730347,diphencyprone,1,0.6410681987694522,0.6410681987694522,0.6410681987694522,0.6410681987694522,12,1,1,0,TRUE,12
BRD-A49848186,BRD-A49848186,1,0.629103371777608,0.629103371777608,0.629103371777608,0.629103371777608,13,1,1,0,TRUE,13
BRD-K21350491,phenamil,1,0.6195392956392302,0.6195392956392302,0.6195392956392302,0.6195392956392302,14,1,1,0,TRUE,14
BRD-K56593336,BRD-K56593336,1,0.6159923678551211,0.6159923678551211,0.6159923678551211,0.6159923678551211,15,1,1,0,TRUE,15
BRD-K57592392,BRD-K57592392,1,0.6158223544211934,0.6158223544211934,0.6158223544211934,0.6158223544211934,16,1,1,0,TRUE,16
BRD-K44366801,BRD-K44366801,1,0.6043658342861689,0.6043658342861689,0.6043658342861689,0.6043658342861689,17,1,1,0,TRUE,17
BRD-K61718261,BRD-K61718261,1,0.5994004260618095,0.5994004260618095,0.5994004260618095,0.5994004260618095,18,1,1,0,TRUE,18
BRD-K89009594,BRD-K89009594,1,0.5981327146306545,0.5981327146306545,0.5981327146306545,0.5981327146306545,19,1,1,0,TRUE,19
