final_rank,pert_id,pert_iname,robust_rank,tier,cell_lines_tested,positive_cell_lines,negative_cell_lines,median_score,mean_score,min_score,max_score,reproducibility_score,positive_fraction,chembl_id,pref_name,max_phase,identity_confidence,mechanism_status_corrected,mechanism_record_count,unique_targets,target_chembl_ids,mechanisms,action_types,connectivity_score_norm,reproducibility_norm,positive_fraction_norm,identity_score,mechanism_score,final_evidence_score,final_priority,chembl_id_annotation,pref_name_annotation,max_phase_annotation,match_status,target_chembl_id,mechanism_of_action,action_type
1,BRD-K40738845,BMS-777607,8,Tier 2 — Strong 4/5+,5,4,1,0.3140217565347384,0.14297681822064165,-0.4145749582706126,0.39302497460850894,0.25121740522779074,0.8,CHEMBL460702,BMS-777607,2,HIGH,annotated,1,1,CHEMBL3717,Hepatocyte growth factor receptor inhibitor,INHIBITOR,0.9230769230769232,0.8923076923076924,0.4,1,1,0.8746153846153847,PRIORITY_A,CHEMBL460702,BMS-777607,2,exact_name_match,CHEMBL3717,Hepatocyte growth factor receptor inhibitor,INHIBITOR
2,BRD-K99616396,motesanib,9,Tier 2 — Strong 4/5+,5,4,1,0.30382114566083906,0.24127577087700225,-0.1123334384427592,0.4191123848207521,0.24305691652867129,0.8,CHEMBL572881,MOTESANIB,3,HIGH,annotated,4,4,CHEMBL1936;CHEMBL2041;CHEMBL2095227;CHEMBL2095189,Stem cell growth factor receptor inhibitor | Tyrosine-protein kinase receptor RET inhibitor | Vascular endothelial growth factor receptor inhibitor | Platelet-derived growth factor receptor inhibitor,INHIBITOR,0.9076923076923076,0.8769230769230769,0.4,1,1,0.8630769230769232,PRIORITY_A,CHEMBL572881,MOTESANIB,3,exact_name_match,CHEMBL1936;CHEMBL2041;CHEMBL2095227;CHEMBL2095189,Stem cell growth factor receptor inhibitor;Tyrosine-protein kinase receptor RET inhibitor;Vascular endothelial growth factor receptor inhibitor;Platelet-derived growth factor receptor inhibitor,INHIBITOR
6,BRD-K25340465,OSI-930,13,Tier 3 — Moderate 3/5+,5,3,2,0.36406774111081,0.0938719089230671,-0.657616320372842,0.4567409368546659,0.21844064466648597,0.6,CHEMBL1614710,OSI-930,1,HIGH,annotated,2,2,CHEMBL1936;CHEMBL2095227,Stem cell growth factor receptor inhibitor | Vascular endothelial growth factor receptor inhibitor,INHIBITOR,0.9692307692307692,0.8153846153846154,0,1,1,0.8384615384615385,PRIORITY_A,CHEMBL1614710,OSI-930,1,exact_name_match,CHEMBL1936;CHEMBL2095227,Stem cell growth factor receptor inhibitor;Vascular endothelial growth factor receptor inhibitor,INHIBITOR
12,BRD-K33379087,tivantinib,14,Tier 1 — Consistent 5/5,5,5,0,0.213711431585622,0.25011851178186806,0.14092952643648457,0.4762647344152867,0.213711431585622,1,CHEMBL2103882,TIVANTINIB,3,HIGH,annotated,1,1,CHEMBL3717,Hepatocyte growth factor receptor inhibitor,INHIBITOR,0.7384615384615385,0.8,0.8153846153846154,1,1,0.8007692307692308,PRIORITY_B,CHEMBL2103882,TIVANTINIB,3,exact_name_match,CHEMBL3717,Hepatocyte growth factor receptor inhibitor,INHIBITOR
15,BRD-K07691486,roscovitine,17,Tier 2 — Strong 4/5+,5,4,2,0.2412372488010185,0.10937875503623,-0.5170593663393499,0.38348274965439777,0.1929897990408148,0.8,CHEMBL14762,SELICICLIB,2,REVIEW,annotated,5,5,CHEMBL301;CHEMBL3055;CHEMBL3116;CHEMBL308;CHEMBL4036,Cyclin-dependent kinase 2 inhibitor | Cyclin-dependent kinase 7 inhibitor | Cyclin-dependent kinase 9 inhibitor | Cyclin-dependent kinase 1 inhibitor | Cyclin-dependent kinase 5 inhibitor,INHIBITOR,0.7846153846153846,0.7538461538461538,0.4,0.5,1,0.7207692307692308,PRIORITY_C,CHEMBL14762,SELICICLIB,2,search_match_requires_review,CHEMBL301;CHEMBL3055;CHEMBL3116;CHEMBL308;CHEMBL4036,Cyclin-dependent kinase 2 inhibitor;Cyclin-dependent kinase 7 inhibitor;Cyclin-dependent kinase 9 inhibitor;Cyclin-dependent kinase 1 inhibitor;Cyclin-dependent kinase 5 inhibitor,INHIBITOR
16,BRD-K93918653,quizartinib,21,Tier 2 — Strong 4/5+,5,5,1,0.15511930929665405,0.1982050959541212,-0.08310820816442605,0.5013640066805835,0.15511930929665405,1,CHEMBL576982,QUIZARTINIB,4,HIGH,annotated,5,5,CHEMBL1844;CHEMBL1974;CHEMBL1936;CHEMBL2095189;CHEMBL2041,Macrophage colony stimulating factor receptor inhibitor | Tyrosine-protein kinase receptor FLT3 inhibitor | Stem cell growth factor receptor inhibitor | Platelet-derived growth factor receptor inhibitor | Tyrosine-protein kinase receptor RET inhibitor,INHIBITOR,0.5846153846153846,0.6923076923076923,0.8153846153846154,1,1,0.696923076923077,PRIORITY_B,CHEMBL576982,QUIZARTINIB,4,exact_name_match,CHEMBL1844;CHEMBL1974;CHEMBL1936;CHEMBL2095189;CHEMBL2041,Macrophage colony stimulating factor receptor inhibitor;Tyrosine-protein kinase receptor FLT3 inhibitor;Stem cell growth factor receptor inhibitor;Platelet-derived growth factor receptor inhibitor;Tyrosine-protein kinase receptor RET inhibitor,INHIBITOR
18,BRD-A87137733,GSK-690693,24,Tier 3 — Moderate 3/5+,5,3,2,0.23315353117419957,0.1121669847317898,-0.4384835452215593,0.5516076289981013,0.13989211870451973,0.6,CHEMBL494089,GSK-690693,1,HIGH,annotated,3,3,CHEMBL2111353;CHEMBL2094138;CHEMBL2093867,Serine/threonine-protein kinase AKT inhibitor | cAMP-dependent protein kinase (PKA) inhibitor | Protein kinase C (PKC) inhibitor,INHIBITOR,0.7538461538461538,0.6461538461538462,0,1,1,0.6884615384615385,PRIORITY_B,CHEMBL494089,GSK-690693,1,exact_name_match,CHEMBL2111353;CHEMBL2094138;CHEMBL2093867,Serine/threonine-protein kinase AKT inhibitor;cAMP-dependent protein kinase (PKA) inhibitor;Protein kinase C (PKC) inhibitor,INHIBITOR
21,BRD-K71035033,masitinib,26,Tier 1 — Consistent 5/5,5,5,0,0.13946666630596513,0.17278545467439288,0.11412024659652918,0.36861141382912666,0.13946666630596513,1,CHEMBL1908391,MASITINIB,3,HIGH,annotated,3,3,CHEMBL2742;CHEMBL1936;CHEMBL2095189,Fibroblast growth factor receptor 3 inhibitor | Stem cell growth factor receptor inhibitor | Platelet-derived growth factor receptor inhibitor,INHIBITOR,0.5384615384615384,0.6153846153846154,0.8153846153846154,1,1,0.6546153846153846,PRIORITY_C,CHEMBL1908391,MASITINIB,3,exact_name_match,CHEMBL2742;CHEMBL1936;CHEMBL2095189,Fibroblast growth factor receptor 3 inhibitor;Stem cell growth factor receptor inhibitor;Platelet-derived growth factor receptor inhibitor,INHIBITOR
22,BRD-K78431006,crizotinib,27,Tier 2 — Strong 4/5+,5,5,1,0.13492042977449473,0.11106378431792004,-0.06090518646771308,0.28377631722584534,0.13492042977449473,1,CHEMBL601719,CRIZOTINIB,4,HIGH,annotated,6,6,CHEMBL3717;CHEMBL4247;CHEMBL3883330;CHEMBL2111387;CHEMBL5568;CHEMBL2689,Hepatocyte growth factor receptor inhibitor | ALK tyrosine kinase receptor inhibitor | EML4-ALK inhibitor | NPM/ALK (Nucleophosmin/ALK tyrosine kinase receptor) inhibitor | Proto-oncogene tyrosine-protein kinase ROS inhibitor | Macrophage-stimulating protein receptor inhibitor,INHIBITOR,0.5230769230769231,0.6,0.8153846153846154,1,1,0.6430769230769231,PRIORITY_C,CHEMBL601719,CRIZOTINIB,4,exact_name_match,CHEMBL3717;CHEMBL4247;CHEMBL3883330;CHEMBL2111387;CHEMBL5568;CHEMBL2689,Hepatocyte growth factor receptor inhibitor;ALK tyrosine kinase receptor inhibitor;EML4-ALK inhibitor;NPM/ALK (Nucleophosmin/ALK tyrosine kinase receptor) inhibitor;Proto-oncogene tyrosine-protein kinase ROS inhibitor;Macrophage-stimulating protein receptor inhibitor,INHIBITOR
23,BRD-K42728290,NVP-BGJ398,22,Tier 1 — Consistent 5/5,5,5,0,0.15330785929646512,0.1640520934920849,0.00498461383961999,0.4070284325640745,0.15330785929646512,1,CHEMBL1852688,INFIGRATINIB,4,REVIEW,annotated,1,1,CHEMBL2095217,Fibroblast growth factor receptor inhibitor,INHIBITOR,0.5692307692307692,0.676923076923077,0.8153846153846154,0.5,1,0.6353846153846154,PRIORITY_C,CHEMBL1852688,INFIGRATINIB,4,search_match_requires_review,CHEMBL2095217,Fibroblast growth factor receptor inhibitor,INHIBITOR
