final_rank,pert_id,pert_iname,robust_rank,tier,cell_lines_tested,positive_cell_lines,negative_cell_lines,median_score,mean_score,min_score,max_score,reproducibility_score,positive_fraction,chembl_id,pref_name,max_phase,identity_confidence,mechanism_status_corrected,mechanism_record_count,unique_targets,target_chembl_ids,mechanisms,action_types,connectivity_score_norm,reproducibility_norm,positive_fraction_norm,identity_score,mechanism_score,final_evidence_score,final_priority,chembl_id_annotation,pref_name_annotation,max_phase_annotation,match_status,target_chembl_id,mechanism_of_action,action_type
3,BRD-K04923131,GSK-3-inhibitor-IX,2,Tier 1 — Consistent 5/5,5,5,0,0.3161703894067659,0.368306266047739,0.19301040450707324,0.6234074370509828,0.3161703894067659,1,CHEMBL380413,NA,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,0.9384615384615383,0.9846153846153848,0.8153846153846154,0.5,0,0.846923076923077,PRIORITY_C,CHEMBL380413,NA,NA,search_match_requires_review,,,
4,BRD-K74514084,pazopanib,4,Tier 1 — Consistent 5/5,5,5,0,0.2655092141884459,0.27092270914548106,0.0897465960935676,0.47783201579571,0.2655092141884459,1,CHEMBL477772,PAZOPANIB,4,HIGH,no_mechanism_record,0,0,NA,NA,NA,0.8461538461538461,0.953846153846154,0.8153846153846154,1,0,0.8430769230769231,PRIORITY_B,CHEMBL477772,PAZOPANIB,4,exact_name_match,,,
5,BRD-K07859598,GW-5074,1,Tier 2 — Strong 4/5+,5,4,1,0.44422790006365903,0.29411843877693006,-0.528392371005824,0.6631113603042174,0.35538232005092724,0.8,CHEMBL584838,NA,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,1,1,0.4,0.5,0,0.8400000000000001,PRIORITY_C,CHEMBL584838,NA,NA,search_match_requires_review,,,
7,BRD-K95435023,PHA-665752,6,Tier 1 — Consistent 5/5,5,5,0,0.26008158848349655,0.2602698099097105,0.09921242373422424,0.4453518680805004,0.26008158848349655,1,CHEMBL450786,PHA-665752,NA,HIGH,no_mechanism_record,0,0,NA,NA,NA,0.8307692307692308,0.9230769230769232,0.8153846153846154,1,0,0.8276923076923077,PRIORITY_B,CHEMBL450786,PHA-665752,NA,exact_name_match,,,
8,BRD-K16478699,PLX-4720,7,Tier 2 — Strong 4/5+,5,5,1,0.2531988268438856,0.1908684817340041,-0.1659533357937114,0.2819963824759967,0.2531988268438856,1,CHEMBL1230020,PLX-4720,NA,HIGH,no_mechanism_record,0,0,NA,NA,NA,0.8153846153846154,0.9076923076923076,0.8153846153846154,1,0,0.8161538461538461,PRIORITY_B,CHEMBL1230020,PLX-4720,NA,exact_name_match,,,
9,BRD-K90382497,GW-843682X,3,Tier 2 — Strong 4/5+,5,5,1,0.29168138767668006,0.2796214745414621,-0.254338233128161,0.905491965668046,0.29168138767668006,1,CHEMBL4303385,NA,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,0.8769230769230769,0.9692307692307692,0.8153846153846154,0.5,0,0.8123076923076924,PRIORITY_C,CHEMBL4303385,NA,NA,search_match_requires_review,,,
10,BRD-K49810818,sorafenib,11,Tier 3 — Moderate 3/5+,5,3,2,0.3936235697879521,0.2462596945760504,-0.21419834672811455,0.576901727660392,0.23617414187277125,0.6,CHEMBL1336,SORAFENIB,4,HIGH,no_mechanism_record,0,0,NA,NA,NA,0.9846153846153848,0.8461538461538461,0,1,0,0.8038461538461539,PRIORITY_B,CHEMBL1336,SORAFENIB,4,exact_name_match,,,
11,BRD-K22096725,ALW-II-49-7,5,Tier 2 — Strong 4/5+,5,4,1,0.3282946220983697,0.24889593765976264,-0.18758994755541075,0.4868795406259359,0.26263569767869577,0.8,CHEMBL5993064,NA,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,0.953846153846154,0.9384615384615383,0.4,0.5,0,0.8015384615384616,PRIORITY_C,CHEMBL5993064,NA,NA,search_match_requires_review,,,
13,BRD-K68191783,ALW-II-38-3,10,Tier 2 — Strong 4/5+,5,4,1,0.29872659510941135,0.14379473253663255,-0.68317635290808,0.41913746902078847,0.2389812760875291,0.8,CHEMBL3640475,NA,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,0.8923076923076924,0.8615384615384616,0.4,0.5,0,0.7515384615384617,PRIORITY_C,CHEMBL3640475,NA,NA,search_match_requires_review,,,
14,BRD-K49327517,THZ-2-98-01,12,Tier 2 — Strong 4/5+,5,4,1,0.28917564798090645,0.20655642113067005,-0.2236783976466873,0.5507389751734311,0.23134051838472516,0.8,CHEMBL4303658,NA,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,0.8615384615384616,0.8307692307692308,0.4,0.5,0,0.7284615384615386,PRIORITY_C,CHEMBL4303658,NA,NA,search_match_requires_review,,,
