final_rank,pert_id,pert_iname,robust_rank,tier,positive_cell_lines,negative_cell_lines,median_score,mean_score,min_score,reproducibility_score,identity_confidence,chembl_id,pref_name,mechanisms,action_types,target_ids,mechanism_supported,mechanism_category,biological_evidence_class,final_evidence_score,final_priority
1,BRD-K40738845,BMS-777607,8,Tier 2 — Strong 4/5+,4,1,0.3140217565347384,0.14297681822064165,-0.4145749582706126,0.25121740522779074,HIGH,CHEMBL460702,BMS-777607,Hepatocyte growth factor receptor inhibitor,INHIBITOR,CHEMBL3717,TRUE,OTHER / UNCLASSIFIED,HIGH_PRIORITY_MECHANISM_SUPPORTED,0.8746153846153847,PRIORITY_A
2,BRD-K99616396,motesanib,9,Tier 2 — Strong 4/5+,4,1,0.30382114566083906,0.24127577087700225,-0.1123334384427592,0.24305691652867129,HIGH,CHEMBL572881,MOTESANIB,Stem cell growth factor receptor inhibitor;Tyrosine-protein kinase receptor RET inhibitor;Vascular endothelial growth factor receptor inhibitor;Platelet-derived growth factor receptor inhibitor,INHIBITOR,CHEMBL1936;CHEMBL2041;CHEMBL2095227;CHEMBL2095189,TRUE,KINASE,HIGH_PRIORITY_MECHANISM_SUPPORTED,0.8630769230769232,PRIORITY_A
3,BRD-K04923131,GSK-3-inhibitor-IX,2,Tier 1 — Consistent 5/5,5,0,0.3161703894067659,0.368306266047739,0.19301040450707324,0.3161703894067659,REVIEW,NA,NA,NA,NA,NA,FALSE,OTHER / UNCLASSIFIED,SECONDARY_CANDIDATE,0.846923076923077,PRIORITY_C
4,BRD-K74514084,pazopanib,4,Tier 1 — Consistent 5/5,5,0,0.2655092141884459,0.27092270914548106,0.0897465960935676,0.2655092141884459,HIGH,NA,NA,NA,NA,NA,FALSE,OTHER / UNCLASSIFIED,STRONG_NO_MECHANISM,0.8430769230769231,PRIORITY_B
5,BRD-K07859598,GW-5074,1,Tier 2 — Strong 4/5+,4,1,0.44422790006365903,0.29411843877693006,-0.528392371005824,0.35538232005092724,REVIEW,NA,NA,NA,NA,NA,FALSE,OTHER / UNCLASSIFIED,SECONDARY_CANDIDATE,0.8400000000000001,PRIORITY_C
6,BRD-K25340465,OSI-930,13,Tier 3 — Moderate 3/5+,3,2,0.36406774111081,0.0938719089230671,-0.657616320372842,0.21844064466648597,HIGH,CHEMBL1614710,OSI-930,Stem cell growth factor receptor inhibitor;Vascular endothelial growth factor receptor inhibitor,INHIBITOR,CHEMBL1936;CHEMBL2095227,TRUE,ANGIOGENESIS,HIGH_PRIORITY_MECHANISM_SUPPORTED,0.8384615384615385,PRIORITY_A
7,BRD-K95435023,PHA-665752,6,Tier 1 — Consistent 5/5,5,0,0.26008158848349655,0.2602698099097105,0.09921242373422424,0.26008158848349655,HIGH,NA,NA,NA,NA,NA,FALSE,OTHER / UNCLASSIFIED,STRONG_NO_MECHANISM,0.8276923076923077,PRIORITY_B
8,BRD-K16478699,PLX-4720,7,Tier 2 — Strong 4/5+,5,1,0.2531988268438856,0.1908684817340041,-0.1659533357937114,0.2531988268438856,HIGH,NA,NA,NA,NA,NA,FALSE,OTHER / UNCLASSIFIED,STRONG_NO_MECHANISM,0.8161538461538461,PRIORITY_B
9,BRD-K90382497,GW-843682X,3,Tier 2 — Strong 4/5+,5,1,0.29168138767668006,0.2796214745414621,-0.254338233128161,0.29168138767668006,REVIEW,NA,NA,NA,NA,NA,FALSE,OTHER / UNCLASSIFIED,SECONDARY_CANDIDATE,0.8123076923076924,PRIORITY_C
10,BRD-K49810818,sorafenib,11,Tier 3 — Moderate 3/5+,3,2,0.3936235697879521,0.2462596945760504,-0.21419834672811455,0.23617414187277125,HIGH,NA,NA,NA,NA,NA,FALSE,OTHER / UNCLASSIFIED,STRONG_NO_MECHANISM,0.8038461538461539,PRIORITY_B
11,BRD-K22096725,ALW-II-49-7,5,Tier 2 — Strong 4/5+,4,1,0.3282946220983697,0.24889593765976264,-0.18758994755541075,0.26263569767869577,REVIEW,NA,NA,NA,NA,NA,FALSE,OTHER / UNCLASSIFIED,SECONDARY_CANDIDATE,0.8015384615384616,PRIORITY_C
12,BRD-K33379087,tivantinib,14,Tier 1 — Consistent 5/5,5,0,0.213711431585622,0.25011851178186806,0.14092952643648457,0.213711431585622,HIGH,CHEMBL2103882,TIVANTINIB,Hepatocyte growth factor receptor inhibitor,INHIBITOR,CHEMBL3717,TRUE,OTHER / UNCLASSIFIED,STRONG_MECHANISM_SUPPORTED,0.8007692307692308,PRIORITY_B
13,BRD-K68191783,ALW-II-38-3,10,Tier 2 — Strong 4/5+,4,1,0.29872659510941135,0.14379473253663255,-0.68317635290808,0.2389812760875291,REVIEW,NA,NA,NA,NA,NA,FALSE,OTHER / UNCLASSIFIED,SECONDARY_CANDIDATE,0.7515384615384617,PRIORITY_C
14,BRD-K49327517,THZ-2-98-01,12,Tier 2 — Strong 4/5+,4,1,0.28917564798090645,0.20655642113067005,-0.2236783976466873,0.23134051838472516,REVIEW,NA,NA,NA,NA,NA,FALSE,OTHER / UNCLASSIFIED,SECONDARY_CANDIDATE,0.7284615384615386,PRIORITY_C
15,BRD-K07691486,roscovitine,17,Tier 2 — Strong 4/5+,4,2,0.2412372488010185,0.10937875503623,-0.5170593663393499,0.1929897990408148,REVIEW,CHEMBL14762,SELICICLIB,Cyclin-dependent kinase 2 inhibitor;Cyclin-dependent kinase 7 inhibitor;Cyclin-dependent kinase 9 inhibitor;Cyclin-dependent kinase 1 inhibitor;Cyclin-dependent kinase 5 inhibitor,INHIBITOR,CHEMBL301;CHEMBL3055;CHEMBL3116;CHEMBL308;CHEMBL4036,TRUE,KINASE,SECONDARY_CANDIDATE,0.7207692307692308,PRIORITY_C
