final_rank,pert_iname,pert_id,robust_rank,tier,positive_cell_lines,median_score,mean_score,reproducibility_score,identity_confidence,chembl_id,pref_name,mechanisms,action_types,biological_evidence_class
1,BMS-777607,BRD-K40738845,8,Tier 2 — Strong 4/5+,4,0.3140217565347384,0.14297681822064165,0.25121740522779074,HIGH,CHEMBL460702,BMS-777607,Hepatocyte growth factor receptor inhibitor,INHIBITOR,HIGH_PRIORITY_MECHANISM_SUPPORTED
2,motesanib,BRD-K99616396,9,Tier 2 — Strong 4/5+,4,0.30382114566083906,0.24127577087700225,0.24305691652867129,HIGH,CHEMBL572881,MOTESANIB,Stem cell growth factor receptor inhibitor;Tyrosine-protein kinase receptor RET inhibitor;Vascular endothelial growth factor receptor inhibitor;Platelet-derived growth factor receptor inhibitor,INHIBITOR,HIGH_PRIORITY_MECHANISM_SUPPORTED
3,GSK-3-inhibitor-IX,BRD-K04923131,2,Tier 1 — Consistent 5/5,5,0.3161703894067659,0.368306266047739,0.3161703894067659,REVIEW,NA,NA,NA,NA,SECONDARY_CANDIDATE
4,pazopanib,BRD-K74514084,4,Tier 1 — Consistent 5/5,5,0.2655092141884459,0.27092270914548106,0.2655092141884459,HIGH,NA,NA,NA,NA,STRONG_NO_MECHANISM
5,GW-5074,BRD-K07859598,1,Tier 2 — Strong 4/5+,4,0.44422790006365903,0.29411843877693006,0.35538232005092724,REVIEW,NA,NA,NA,NA,SECONDARY_CANDIDATE
6,OSI-930,BRD-K25340465,13,Tier 3 — Moderate 3/5+,3,0.36406774111081,0.0938719089230671,0.21844064466648597,HIGH,CHEMBL1614710,OSI-930,Stem cell growth factor receptor inhibitor;Vascular endothelial growth factor receptor inhibitor,INHIBITOR,HIGH_PRIORITY_MECHANISM_SUPPORTED
7,PHA-665752,BRD-K95435023,6,Tier 1 — Consistent 5/5,5,0.26008158848349655,0.2602698099097105,0.26008158848349655,HIGH,NA,NA,NA,NA,STRONG_NO_MECHANISM
8,PLX-4720,BRD-K16478699,7,Tier 2 — Strong 4/5+,5,0.2531988268438856,0.1908684817340041,0.2531988268438856,HIGH,NA,NA,NA,NA,STRONG_NO_MECHANISM
9,GW-843682X,BRD-K90382497,3,Tier 2 — Strong 4/5+,5,0.29168138767668006,0.2796214745414621,0.29168138767668006,REVIEW,NA,NA,NA,NA,SECONDARY_CANDIDATE
10,sorafenib,BRD-K49810818,11,Tier 3 — Moderate 3/5+,3,0.3936235697879521,0.2462596945760504,0.23617414187277125,HIGH,NA,NA,NA,NA,STRONG_NO_MECHANISM
11,ALW-II-49-7,BRD-K22096725,5,Tier 2 — Strong 4/5+,4,0.3282946220983697,0.24889593765976264,0.26263569767869577,REVIEW,NA,NA,NA,NA,SECONDARY_CANDIDATE
12,tivantinib,BRD-K33379087,14,Tier 1 — Consistent 5/5,5,0.213711431585622,0.25011851178186806,0.213711431585622,HIGH,CHEMBL2103882,TIVANTINIB,Hepatocyte growth factor receptor inhibitor,INHIBITOR,STRONG_MECHANISM_SUPPORTED
13,ALW-II-38-3,BRD-K68191783,10,Tier 2 — Strong 4/5+,4,0.29872659510941135,0.14379473253663255,0.2389812760875291,REVIEW,NA,NA,NA,NA,SECONDARY_CANDIDATE
14,THZ-2-98-01,BRD-K49327517,12,Tier 2 — Strong 4/5+,4,0.28917564798090645,0.20655642113067005,0.23134051838472516,REVIEW,NA,NA,NA,NA,SECONDARY_CANDIDATE
15,roscovitine,BRD-K07691486,17,Tier 2 — Strong 4/5+,4,0.2412372488010185,0.10937875503623,0.1929897990408148,REVIEW,CHEMBL14762,SELICICLIB,Cyclin-dependent kinase 2 inhibitor;Cyclin-dependent kinase 7 inhibitor;Cyclin-dependent kinase 9 inhibitor;Cyclin-dependent kinase 1 inhibitor;Cyclin-dependent kinase 5 inhibitor,INHIBITOR,SECONDARY_CANDIDATE
