direction,pathway,genes,gene_list
DOWN,positive regulation of apoptotic process,20,VNN1;PMAIP1;AKR1C3;BBC3;SFRP1;PRELID1;S100B;INHBA;G0S2;PHLDA3;GADD45A;AIFM2;SOD2;CFLAR;AKAP12;LYN;IGFBP3;TXNIP;RPL26;CAV1
DOWN,response to wounding,15,CD59;ITGA2;ANXA8;CLIC1;MMP12;PROCR;VKORC1;FGF2;ANGPTL4;KRT6A;CHMP4A;SAA1;LYN;PLAUR;CAV1
DOWN,wound healing,15,CD59;ITGA2;ANXA8;CLIC1;MMP12;PROCR;VKORC1;FGF2;ANGPTL4;KRT6A;CHMP4A;SAA1;LYN;PLAUR;CAV1
DOWN,chemotaxis,14,ITGA2;CMTM7;DEFB1;CCL20;FGF2;CXCL5;TNFAIP6;CKLF;CXCL3;SAA1;LYN;PLAUR;NBL1;IL23A
DOWN,epidermis development,14,PI3;KRT6B;LAMC2;KRT5;LAMB3;AKR1C3;INHBA;SFN;KRT14;KRT6A;TRIM16;TXNIP;KRT16;RHBDF2
DOWN,intrinsic apoptotic signaling pathway,14,IFI27L2;VNN1;PMAIP1;BBC3;ERO1A;FGF2;PHLDA3;SOD2;SFN;BIRC3;PLAUR;CEBPB;RPL26;CAV1
DOWN,leukocyte migration,14,ITGA2;ABL2;CCL20;MSN;MMP14;CD47;CXCL5;TNFAIP6;CKLF;CXCL3;SAA1;LYN;NBL1;IL23A
DOWN,positive regulation of cell adhesion,14,ITGA2;ABL2;VNN1;CD63;SFRP1;CD47;ZBTB16;LAMC1;SFN;SAA1;LYN;PLAUR;IL23A;CAV1
DOWN,regulation of lymphocyte activation,14,ABL2;VNN1;PRDM1;SFRP1;PRELID1;MMP14;INHBA;CD47;ZBTB16;MICA;LYN;CEBPB;IL23A;CAV1
DOWN,taxis,14,ITGA2;CMTM7;DEFB1;CCL20;FGF2;CXCL5;TNFAIP6;CKLF;CXCL3;SAA1;LYN;PLAUR;NBL1;IL23A
DOWN,regulation of apoptotic signaling pathway,13,VNN1;PMAIP1;BBC3;SFRP1;PRELID1;INHBA;FGF2;G0S2;SOD2;CFLAR;PLAUR;RPL26;CAV1
DOWN,response to decreased oxygen levels,13,ITGA2;PMAIP1;BBC3;SFRP1;S100B;MMP14;ERO1A;INHBA;CYP1A1;SOD2;ANGPTL4;CFLAR;CAV1
DOWN,response to hypoxia,13,ITGA2;PMAIP1;BBC3;SFRP1;S100B;MMP14;ERO1A;INHBA;CYP1A1;SOD2;ANGPTL4;CFLAR;CAV1
DOWN,response to oxygen levels,13,ITGA2;PMAIP1;BBC3;SFRP1;S100B;MMP14;ERO1A;INHBA;CYP1A1;SOD2;ANGPTL4;CFLAR;CAV1
DOWN,skin development,13,PI3;KRT6B;ITGA2;KRT5;AKR1C3;INHBA;SFN;KRT14;KRT6A;TRIM16;TXNIP;KRT16;RHBDF2
DOWN,carboxylic acid biosynthetic process,12,LIPG;OLAH;MTHFD1L;AKR1C3;CYP1A1;ELOVL6;ALDH1A3;ACSL4;ANGPTL4;FADS3;AGXT;PYCR2
DOWN,negative regulation of response to external stimulus,12,MMP12;FGF2;SERPINB4;TNFAIP6;SFN;FNDC4;MICA;SAA1;LYN;PLAUR;NBL1;RHBDF2
DOWN,organic acid biosynthetic process,12,LIPG;OLAH;MTHFD1L;AKR1C3;CYP1A1;ELOVL6;ALDH1A3;ACSL4;ANGPTL4;FADS3;AGXT;PYCR2
DOWN,regulation of hemopoiesis,12,VNN1;PRDM1;SFRP1;PRELID1;KISS1;MMP14;INHBA;ZBTB16;TNFAIP6;LYN;CEBPB;IL23A
