final_rank,pert_id,pert_iname,final_priority,portfolio_evidence_level,robust_rank,tier,cell_lines_tested,positive_cell_lines,negative_cell_lines,median_score,mean_score,min_score,max_score,reproducibility_score,positive_fraction,chembl_id,pref_name,identity_confidence,mechanism_status_corrected,mechanism_record_count,unique_targets,target_chembl_ids,mechanisms,action_types,literature_status,publication_count,oncology_status,oncology_publications,external_evidence_class,overall_evidence_class,final_evidence_score
1,BRD-K40738845,BMS-777607,PRIORITY_A,HIGH,8,Tier 2 — Strong 4/5+,5,4,1,0.3140217565347384,0.14297681822064165,-0.4145749582706126,0.39302497460850894,0.25121740522779074,0.8,CHEMBL460702,BMS-777607,HIGH,annotated,1,1,CHEMBL3717,Hepatocyte growth factor receptor inhibitor,INHIBITOR,EVIDENCE_FOUND,199,EVIDENCE_FOUND,300,BREAST_CANCER_OR_HER2_EVIDENCE,STRONG_CANDIDATE,0.8746153846153847
2,BRD-K99616396,motesanib,PRIORITY_A,HIGH,9,Tier 2 — Strong 4/5+,5,4,1,0.30382114566083906,0.24127577087700225,-0.1123334384427592,0.4191123848207521,0.24305691652867129,0.8,CHEMBL572881,MOTESANIB,HIGH,annotated,4,4,CHEMBL1936;CHEMBL2041;CHEMBL2095227;CHEMBL2095189,Stem cell growth factor receptor inhibitor | Tyrosine-protein kinase receptor RET inhibitor | Vascular endothelial growth factor receptor inhibitor | Platelet-derived growth factor receptor inhibitor,INHIBITOR,EVIDENCE_FOUND,334,EVIDENCE_FOUND,685,BREAST_CANCER_OR_HER2_EVIDENCE,STRONG_CANDIDATE,0.8630769230769232
3,BRD-K04923131,GSK-3-inhibitor-IX,PRIORITY_C,SECONDARY,2,Tier 1 — Consistent 5/5,5,5,0,0.3161703894067659,0.368306266047739,0.19301040450707324,0.6234074370509828,0.3161703894067659,1,CHEMBL380413,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,EVIDENCE_FOUND,17,EVIDENCE_FOUND,65,BREAST_CANCER_OR_HER2_EVIDENCE,REQUIRES_REVIEW,0.846923076923077
4,BRD-K74514084,pazopanib,PRIORITY_B,MODERATE,4,Tier 1 — Consistent 5/5,5,5,0,0.2655092141884459,0.27092270914548106,0.0897465960935676,0.47783201579571,0.2655092141884459,1,CHEMBL477772,PAZOPANIB,HIGH,no_mechanism_record,0,0,NA,NA,NA,EVIDENCE_FOUND,6364,EVIDENCE_FOUND,15419,BREAST_CANCER_OR_HER2_EVIDENCE,REQUIRES_REVIEW,0.8430769230769231
5,BRD-K07859598,GW-5074,PRIORITY_C,SECONDARY,1,Tier 2 — Strong 4/5+,5,4,1,0.44422790006365903,0.29411843877693006,-0.528392371005824,0.6631113603042174,0.35538232005092724,0.8,CHEMBL584838,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,EVIDENCE_FOUND,21,EVIDENCE_FOUND,61,BREAST_CANCER_OR_HER2_EVIDENCE,REQUIRES_REVIEW,0.8400000000000001
6,BRD-K25340465,OSI-930,PRIORITY_A,HIGH,13,Tier 3 — Moderate 3/5+,5,3,2,0.36406774111081,0.0938719089230671,-0.657616320372842,0.4567409368546659,0.21844064466648597,0.6,CHEMBL1614710,OSI-930,HIGH,annotated,2,2,CHEMBL1936;CHEMBL2095227,Stem cell growth factor receptor inhibitor | Vascular endothelial growth factor receptor inhibitor,INHIBITOR,EVIDENCE_FOUND,55,EVIDENCE_FOUND,105,BREAST_CANCER_OR_HER2_EVIDENCE,STRONG_CANDIDATE,0.8384615384615385
7,BRD-K95435023,PHA-665752,PRIORITY_B,MODERATE,6,Tier 1 — Consistent 5/5,5,5,0,0.26008158848349655,0.2602698099097105,0.09921242373422424,0.4453518680805004,0.26008158848349655,1,CHEMBL450786,PHA-665752,HIGH,no_mechanism_record,0,0,NA,NA,NA,EVIDENCE_FOUND,346,EVIDENCE_FOUND,646,BREAST_CANCER_OR_HER2_EVIDENCE,REQUIRES_REVIEW,0.8276923076923077
8,BRD-K16478699,PLX-4720,PRIORITY_B,MODERATE,7,Tier 2 — Strong 4/5+,5,5,1,0.2531988268438856,0.1908684817340041,-0.1659533357937114,0.2819963824759967,0.2531988268438856,1,CHEMBL1230020,PLX-4720,HIGH,no_mechanism_record,0,0,NA,NA,NA,EVIDENCE_FOUND,238,EVIDENCE_FOUND,515,BREAST_CANCER_OR_HER2_EVIDENCE,REQUIRES_REVIEW,0.8161538461538461
9,BRD-K90382497,GW-843682X,PRIORITY_C,SECONDARY,3,Tier 2 — Strong 4/5+,5,5,1,0.29168138767668006,0.2796214745414621,-0.254338233128161,0.905491965668046,0.29168138767668006,1,CHEMBL4303385,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,EVIDENCE_FOUND,10,EVIDENCE_FOUND,31,BREAST_CANCER_OR_HER2_EVIDENCE,REQUIRES_REVIEW,0.8123076923076924
10,BRD-K49810818,sorafenib,PRIORITY_B,MODERATE,11,Tier 3 — Moderate 3/5+,5,3,2,0.3936235697879521,0.2462596945760504,-0.21419834672811455,0.576901727660392,0.23617414187277125,0.6,CHEMBL1336,SORAFENIB,HIGH,no_mechanism_record,0,0,NA,NA,NA,EVIDENCE_FOUND,24210,EVIDENCE_FOUND,58351,BREAST_CANCER_OR_HER2_EVIDENCE,REQUIRES_REVIEW,0.8038461538461539
