"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,5.43331743519986,0.314,0.016,0,"0","TFF1"
0,4.85045125726825,0.469,0.014,0,"0","C1orf64"
0,4.76751023650397,0.556,0.043,0,"0","PIP"
0,4.71550564324539,0.27,0.015,0,"0","SCUBE2"
0,4.71473661328334,0.664,0.041,0,"0","AGR3"
0,4.64540878362963,0.252,0.013,0,"0","AKR7A3"
0,4.60194482104523,0.509,0.027,0,"0","ESR1"
0,4.54500921316333,0.517,0.023,0,"0","FOXA1"
0,4.50378866685941,0.67,0.028,0,"0","ANKRD30A"
0,4.48124702162108,0.79,0.073,0,"0","AGR2"
0,4.46062929294827,0.328,0.012,0,"0","PRR15"
0,4.45347803777616,0.611,0.044,0,"0","MUC1"
0,4.42706644785537,0.949,0.14,0,"0","AZGP1"
0,4.38927174714389,0.272,0.009,0,"0","GATA3-AS1"
0,4.36850736794532,0.265,0.012,0,"0","CYP4Z1"
0,4.36265912840635,0.395,0.042,0,"0","STC2"
0,4.35470078927393,0.7,0.037,0,"0","DEGS2"
0,4.18599364251408,0.576,0.035,0,"0","LRRC26"
0,4.18069503341277,0.41,0.026,0,"0","NUPR2"
0,4.17905114818598,0.277,0.013,0,"0","ERBB4"
0,4.16742067098366,0.25,0.01,0,"0","KIF12"
0,4.16135664437347,0.657,0.062,0,"0","GPRC5A"
0,4.12861089714223,0.572,0.036,0,"0","CA12"
0,4.12835946194717,0.638,0.043,0,"0","TFF3"
0,4.10942137665217,0.411,0.041,0,"0","SCGB1D2"
0,4.10755018363831,0.339,0.021,0,"0","CYP4X1"
0,4.08281276432766,0.51,0.095,0,"0","SCGB2A2"
0,4.07629777536338,0.332,0.024,0,"0","SCGB3A1"
0,4.06822514542335,0.788,0.058,0,"0","MLPH"
0,4.02192735378973,0.257,0.014,0,"0","BMPR1B"
0,4.00811789824075,0.275,0.021,0,"0","DHRS2"
0,3.98813177796859,0.331,0.031,0,"0","GDF15"
0,3.95302655368111,0.907,0.122,0,"0","ELF3"
0,3.95258642875531,0.802,0.051,0,"0","SPDEF"
0,3.93336458338689,0.424,0.038,0,"0","GRB7"
0,3.9250118756015,0.391,0.021,0,"0","SLC44A4"
0,3.91198986766137,0.458,0.029,0,"0","TTC39A"
0,3.9070525149215,0.333,0.018,0,"0","HPN"
0,3.89961694112073,0.322,0.029,0,"0","RP11-206M11.7"
0,3.88461000924382,0.275,0.019,0,"0","OVOL1"
0,3.8654172511307,0.81,0.075,0,"0","SMIM22"
0,3.84443606516131,0.59,0.044,0,"0","ERBB3"
0,3.83995767028309,0.514,0.051,0,"0","ERBB2"
0,3.83883496901811,0.25,0.015,0,"0","BNIPL"
0,3.8186970810274,0.413,0.031,0,"0","SHROOM3"
0,3.79388050673168,0.263,0.026,0,"0","CCDC74A"
0,3.7919877060941,0.257,0.015,0,"0","LYPD6B"
0,3.78417496815166,0.443,0.031,0,"0","MAPT"
0,3.78246859531968,0.775,0.161,0,"0","SLC39A6"
0,3.74727469575129,0.372,0.026,0,"0","ALDH3B2"
0,3.74563284475513,0.308,0.019,0,"0","SULT2B1"
0,3.73090545813177,0.356,0.022,0,"0","CAPN8"
0,3.72553625897168,0.382,0.025,0,"0","TNNT1"
