"Var1","Var2","Freq"
"0","ER+",8860
"1","ER+",2809
"2","ER+",2896
"3","ER+",1955
"4","ER+",1544
"5","ER+",999
"6","ER+",899
"7","ER+",1663
"8","ER+",2887
"9","ER+",470
"10","ER+",547
"11","ER+",1341
"12","ER+",1996
"13","ER+",551
"14","ER+",1069
"15","ER+",1952
"16","ER+",577
"17","ER+",1268
"18","ER+",703
"19","ER+",47
"20","ER+",92
"21","ER+",101
"22","ER+",0
"0","HER2+",1030
"1","HER2+",2722
"2","HER2+",3385
"3","HER2+",2268
"4","HER2+",2288
"5","HER2+",708
"6","HER2+",639
"7","HER2+",320
"8","HER2+",527
"9","HER2+",373
"10","HER2+",180
"11","HER2+",478
"12","HER2+",429
"13","HER2+",615
"14","HER2+",856
"15","HER2+",482
"16","HER2+",430
"17","HER2+",421
"18","HER2+",222
"19","HER2+",43
"20","HER2+",66
"21","HER2+",18
"22","HER2+",0
"0","TNBC",2330
"1","TNBC",5054
"2","TNBC",3157
"3","TNBC",2846
"4","TNBC",2180
"5","TNBC",3976
"6","TNBC",3068
"7","TNBC",2401
"8","TNBC",522
"9","TNBC",2888
"10","TNBC",2539
"11","TNBC",1366
"12","TNBC",621
"13","TNBC",1848
"14","TNBC",1010
"15","TNBC",456
"16","TNBC",1790
"17","TNBC",760
"18","TNBC",173
"19","TNBC",269
"20","TNBC",160
"21","TNBC",21
"22","TNBC",34
