"Cluster","CellType","Freq"
"0","B-cells",0
"1","B-cells",1
"2","B-cells",16
"3","B-cells",4
"4","B-cells",5
"5","B-cells",18
"6","B-cells",0
"7","B-cells",7
"8","B-cells",3
"9","B-cells",2
"10","B-cells",88
"11","B-cells",0
"12","B-cells",0
"13","B-cells",2917
"14","B-cells",0
"15","B-cells",0
"16","B-cells",22
"17","B-cells",0
"18","B-cells",0
"19","B-cells",2
"20","B-cells",2
"21","B-cells",0
"22","B-cells",0
"0","CAFs",0
"1","CAFs",0
"2","CAFs",1
"3","CAFs",0
"4","CAFs",9
"5","CAFs",8
"6","CAFs",2
"7","CAFs",2
"8","CAFs",1
"9","CAFs",1
"10","CAFs",0
"11","CAFs",3136
"12","CAFs",0
"13","CAFs",0
"14","CAFs",2700
"15","CAFs",22
"16","CAFs",0
"17","CAFs",338
"18","CAFs",0
"19","CAFs",0
"20","CAFs",0
"21","CAFs",1
"22","CAFs",0
"0","Cancer Epithelial",11105
"1","Cancer Epithelial",2
"2","Cancer Epithelial",67
"3","Cancer Epithelial",6
"4","Cancer Epithelial",20
"5","Cancer Epithelial",8
"6","Cancer Epithelial",2859
"7","Cancer Epithelial",4091
"8","Cancer Epithelial",1
"9","Cancer Epithelial",2404
"10","Cancer Epithelial",4
"11","Cancer Epithelial",18
"12","Cancer Epithelial",4
"13","Cancer Epithelial",2
"14","Cancer Epithelial",229
"15","Cancer Epithelial",22
"16","Cancer Epithelial",3
"17","Cancer Epithelial",47
"18","Cancer Epithelial",30
"19","Cancer Epithelial",0
"20","Cancer Epithelial",0
"21","Cancer Epithelial",1
"22","Cancer Epithelial",34
"0","Endothelial",0
"1","Endothelial",0
"2","Endothelial",1
"3","Endothelial",0
"4","Endothelial",1
"5","Endothelial",16
"6","Endothelial",0
"7","Endothelial",0
"8","Endothelial",3903
"9","Endothelial",18
"10","Endothelial",0
"11","Endothelial",1
"12","Endothelial",3023
"13","Endothelial",2
"14","Endothelial",1
"15","Endothelial",1
"16","Endothelial",1
"17","Endothelial",15
"18","Endothelial",0
"19","Endothelial",0
"20","Endothelial",0
"21","Endothelial",138
"22","Endothelial",0
"0","Myeloid",0
"1","Myeloid",2
"2","Myeloid",4
"3","Myeloid",1
"4","Myeloid",12
"5","Myeloid",5612
"6","Myeloid",0
"7","Myeloid",3
"8","Myeloid",14
"9","Myeloid",27
"10","Myeloid",3
"11","Myeloid",2
"12","Myeloid",5
"13","Myeloid",17
"14","Myeloid",0
"15","Myeloid",0
"16","Myeloid",2764
"17","Myeloid",0
"18","Myeloid",0
"19","Myeloid",356
"20","Myeloid",316
"21","Myeloid",0
"22","Myeloid",0
"0","Normal Epithelial",1112
"1","Normal Epithelial",0
"2","Normal Epithelial",0
"3","Normal Epithelial",0
"4","Normal Epithelial",0
"5","Normal Epithelial",0
"6","Normal Epithelial",1741
"7","Normal Epithelial",61
"8","Normal Epithelial",0
"9","Normal Epithelial",0
"10","Normal Epithelial",1
"11","Normal Epithelial",0
"12","Normal Epithelial",0
"13","Normal Epithelial",0
"14","Normal Epithelial",0
"15","Normal Epithelial",0
"16","Normal Epithelial",0
"17","Normal Epithelial",0
"18","Normal Epithelial",1059
"19","Normal Epithelial",0
"20","Normal Epithelial",0
"21","Normal Epithelial",0
"22","Normal Epithelial",0
"0","Plasmablasts",1
"1","Plasmablasts",3
"2","Plasmablasts",12
"3","Plasmablasts",2
"4","Plasmablasts",3
"5","Plasmablasts",1
"6","Plasmablasts",0
"7","Plasmablasts",13
"8","Plasmablasts",3
"9","Plasmablasts",30
"10","Plasmablasts",3157
"11","Plasmablasts",1
"12","Plasmablasts",0
"13","Plasmablasts",12
"14","Plasmablasts",0
"15","Plasmablasts",1
"16","Plasmablasts",1
"17","Plasmablasts",0
"18","Plasmablasts",3
"19","Plasmablasts",0
"20","Plasmablasts",0
"21","Plasmablasts",0
"22","Plasmablasts",0
"0","PVL",1
"1","PVL",0
"2","PVL",0
"3","PVL",0
"4","PVL",2
"5","PVL",4
"6","PVL",0
"7","PVL",3
"8","PVL",0
"9","PVL",0
"10","PVL",0
"11","PVL",21
"12","PVL",14
"13","PVL",0
"14","PVL",5
"15","PVL",2841
"16","PVL",0
"17","PVL",2049
"18","PVL",2
"19","PVL",0
"20","PVL",0
"21","PVL",0
"22","PVL",0
"0","T-cells",1
"1","T-cells",10577
"2","T-cells",9337
"3","T-cells",7056
"4","T-cells",5960
"5","T-cells",16
"6","T-cells",4
"7","T-cells",204
"8","T-cells",11
"9","T-cells",1249
"10","T-cells",13
"11","T-cells",6
"12","T-cells",0
"13","T-cells",64
"14","T-cells",0
"15","T-cells",3
"16","T-cells",6
"17","T-cells",0
"18","T-cells",4
"19","T-cells",1
"20","T-cells",0
"21","T-cells",0
"22","T-cells",0
