"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,5.43331743519986,0.314,0.016,0,"0","TFF1"
0,4.85045125726825,0.469,0.014,0,"0","C1orf64"
0,4.76751023650397,0.556,0.043,0,"0","PIP"
0,4.71550564324539,0.27,0.015,0,"0","SCUBE2"
0,4.71473661328334,0.664,0.041,0,"0","AGR3"
0,4.64540878362963,0.252,0.013,0,"0","AKR7A3"
0,4.60194482104523,0.509,0.027,0,"0","ESR1"
0,4.54500921316333,0.517,0.023,0,"0","FOXA1"
0,4.50378866685941,0.67,0.028,0,"0","ANKRD30A"
0,4.48124702162108,0.79,0.073,0,"0","AGR2"
0,4.46062929294827,0.328,0.012,0,"0","PRR15"
0,4.45347803777616,0.611,0.044,0,"0","MUC1"
0,4.42706644785537,0.949,0.14,0,"0","AZGP1"
0,4.38927174714389,0.272,0.009,0,"0","GATA3-AS1"
0,4.36850736794532,0.265,0.012,0,"0","CYP4Z1"
0,4.36265912840635,0.395,0.042,0,"0","STC2"
0,4.35470078927393,0.7,0.037,0,"0","DEGS2"
0,4.18599364251408,0.576,0.035,0,"0","LRRC26"
0,4.18069503341277,0.41,0.026,0,"0","NUPR2"
0,4.17905114818598,0.277,0.013,0,"0","ERBB4"
0,5.91710147571105,0.424,0.029,0,"1","GNLY"
0,5.63774027641973,0.454,0.018,0,"1","GZMH"
0,5.62371405556241,0.39,0.016,0,"1","XCL2"
0,5.53930606144414,0.499,0.023,0,"1","KLRD1"
0,5.20409579378013,0.873,0.069,0,"1","NKG7"
0,4.95531188348953,0.538,0.032,0,"1","GZMB"
0,4.90077998801113,0.395,0.026,0,"1","XCL1"
0,4.72875390424376,0.408,0.033,0,"1","PRF1"
0,4.66449973178148,0.264,0.022,0,"1","CRTAM"
0,4.55979137247936,0.421,0.026,0,"1","ZNF683"
0,4.27547988914162,0.659,0.059,0,"1","CTSW"
0,4.2675053827766,0.297,0.02,0,"1","RP11-291B21.2"
0,4.19376900692417,0.572,0.051,0,"1","CD8A"
0,4.18059555512098,0.804,0.138,0,"1","CCL4"
0,3.96787965568289,0.468,0.042,0,"1","CD8B"
0,3.93895695305497,0.66,0.078,0,"1","GZMA"
0,3.93334134381705,0.39,0.044,0,"1","IFNG"
0,3.87233715415619,0.932,0.19,0,"1","CCL5"
0,3.75827427462297,0.417,0.074,0,"1","CCL4L2"
0,3.43980160878116,0.726,0.116,0,"1","CST7"
0,3.66584541845376,0.293,0.029,0,"2","CD40LG"
0,3.04398420836666,0.438,0.072,0,"2","CCR7"
0,2.90072618966089,0.855,0.186,0,"2","IL7R"
0,2.47273346577832,0.303,0.062,0,"2","TRAT1"
0,2.20985903256556,0.494,0.149,0,"2","GPR183"
0,2.19626494236374,0.265,0.07,0,"2","CAMK4"
0,2.05342298252255,0.281,0.081,0,"2","CD6"
0,2.05081392199508,0.282,0.081,0,"2","ITK"
0,2.00383887144699,0.298,0.104,0,"2","SELL"
0,1.95936759361918,0.323,0.086,0,"2","KLRB1"
0,1.95033707964402,0.719,0.462,0,"2","ANXA1"
0,1.91188015667729,0.264,0.115,0,"2","FLT3LG"
0,1.86770511080366,0.594,0.18,0,"2","LTB"
0,1.85742204936811,0.306,0.094,0,"2","ICOS"
