"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0090084","negative regulation of inclusion body assembly","4/160","13/18842",0.307692307692308,36.2346153846154,11.760556314681,3.37329307017942e-06,0.00753593671878084,0.000840716849327144,"HSPA1A/DNAJB1/DNAJA4/HSPA1B",4
"GO:1902895","positive regulation of miRNA transcription","6/160","55/18842",0.109090909090909,12.8468181818182,8.14244122778436,7.01580676703079e-06,0.0078366561587734,0.000874265419273585,"MYB/FOS/EGR1/AR/FOXA1/SREBF1",6
"GO:2000630","positive regulation of miRNA metabolic process","6/160","64/18842",0.09375,11.040234375,7.44576718936556,1.70378685786263e-05,0.0118331610037367,0.00132011960926495,"MYB/FOS/EGR1/AR/FOXA1/SREBF1",6
"GO:0090083","regulation of inclusion body assembly","4/160","22/18842",0.181818181818182,21.4113636363636,8.8648998383125,3.25133658510512e-05,0.0118331610037367,0.00132011960926495,"HSPA1A/DNAJB1/DNAJA4/HSPA1B",4
"GO:0006986","response to unfolded protein","8/160","145/18842",0.0551724137931034,6.49724137931034,6.14954701605986,3.3767199328782e-05,0.0118331610037367,0.00132011960926495,"EDEM3/CREB3L4/HSPA1A/DNAJB1/DNAJB4/CREB3L1/ATF3/ERMP1",8
"GO:0034599","cellular response to oxidative stress","10/160","238/18842",0.0420168067226891,4.94800420168067,5.67235236862815,3.72376092774829e-05,0.0118331610037367,0.00132011960926495,"ATP7A/MYB/KLF2/DAPK1/FOS/HSPA1A/MB/ALB/HSPA1B/ERMP1",10
"GO:1902893","regulation of miRNA transcription","6/160","74/18842",0.0810810810810811,9.54831081081081,6.81847808757259,3.92578958682937e-05,0.0118331610037367,0.00132011960926495,"MYB/FOS/EGR1/AR/FOXA1/SREBF1",6
"GO:0061614","miRNA transcription","6/160","75/18842",0.08,9.421,6.76234236145204,4.23747932094421e-05,0.0118331610037367,0.00132011960926495,"MYB/FOS/EGR1/AR/FOXA1/SREBF1",6
"GO:0035966","response to topologically incorrect protein","8/160","161/18842",0.0496894409937888,5.85155279503106,5.72128947337157,7.09782634624279e-05,0.0176183822861182,0.00196552484429869,"EDEM3/CREB3L4/HSPA1A/DNAJB1/DNAJB4/CREB3L1/ATF3/ERMP1",8
"GO:0048545","response to steroid hormone","11/160","317/18842",0.0347003154574132,4.08639589905363,5.12864263369197,8.62376480024874e-05,0.0187640147735983,0.00209333278262183,"FOS/AR/HSPA1A/FOSB/ZFP36/FOXA1/SCGB2A2/HSPA1B/SREBF1/UCP2/NR4A3",11
"GO:2000628","regulation of miRNA metabolic process","6/160","87/18842",0.0689655172413793,8.12155172413793,6.16135180646163,9.77371410852826e-05,0.0187640147735983,0.00209333278262183,"MYB/FOS/EGR1/AR/FOXA1/SREBF1",6
"GO:0070841","inclusion body assembly","4/160","29/18842",0.137931034482759,16.2431034482759,7.60227631282853,0.000100791484907421,0.0187640147735983,0.00209333278262183,"HSPA1A/DNAJB1/DNAJA4/HSPA1B",4
"GO:0010586","miRNA metabolic process","6/160","103/18842",0.058252427184466,6.85995145631068,5.51873712005248,0.000247563181087744,0.0410946962893373,0.00458456657449439,"MYB/FOS/EGR1/AR/FOXA1/SREBF1",6
"GO:0062197","cellular response to chemical stress","10/160","301/18842",0.0332225913621262,3.91237541528239,4.71372573076814,0.0002575316687783,0.0410946962893373,0.00458456657449439,"ATP7A/MYB/KLF2/DAPK1/FOS/HSPA1A/MB/ALB/HSPA1B/ERMP1",10
