"subtype","celltype","n_patients","mean_percentage","median_percentage","sd_percentage"
"ER_Positive","Cancer Epithelial",9,40.5895958985282,45.8937198067633,22.7967181319614
"ER_Positive","T-cells",11,29.9420402563957,18.4672206832872,28.6263973448956
"ER_Positive","Endothelial",11,11.4386419390266,7.10987996306556,10.0667408671266
"ER_Positive","PVL",11,7.25211726072413,2.86241920590951,6.41933828389639
"ER_Positive","Normal Epithelial",5,6.61311801565103,1.93905817174515,9.20491210974976
"ER_Positive","Myeloid",11,5.69806075763448,5.33154121863799,2.70255566152437
"ER_Positive","CAFs",11,5.1297132377351,4.00272913350011,4.20812473974025
"ER_Positive","Plasmablasts",7,3.54663463983896,2.643811737362,3.10348147082959
"ER_Positive","B-cells",8,2.84191204868033,1.71160670476899,2.68468632551695
"HER2_Positive","T-cells",5,58.1789416142743,58.2646420824295,12.6408178546038
"HER2_Positive","Cancer Epithelial",3,16.4306790118305,10.8960573476703,11.1279683744391
"HER2_Positive","Myeloid",5,8.59681187472347,7.46203904555315,5.33261764224557
"HER2_Positive","Normal Epithelial",2,7.87396098697961,7.87396098697961,4.08061265095779
"HER2_Positive","CAFs",5,6.63808586330773,3.51254480286738,6.57528772939287
"HER2_Positive","Endothelial",5,4.8172434728736,3.51637764932563,3.84353491081582
"HER2_Positive","PVL",5,4.26164207498124,2.36559139784946,4.8790152085071
"HER2_Positive","Plasmablasts",2,3.40237636480411,3.40237636480411,1.47370681114345
"HER2_Positive","B-cells",5,3.1383327520278,2.4295010845987,2.09500953190788
"Normal","Luminal_Epithelial",4,34.4194679636132,23.1296995668133,29.0950680985444
"Normal","Myoepithelial",4,19.1960950471407,17.2143067949704,7.99713615661172
"Normal","Luminal_Secretory",4,17.0372153513867,12.4638423110545,15.1705671869999
"Normal","Basal_Epithelial",4,16.7462855640807,12.2617579240948,19.5374837085797
"Normal","Myoepithelial_Basal",4,8.7230719078332,5.35064674572424,11.1327022573224
"Normal","Luminal_Epithelial_Cycling",4,2.4241972344852,1.38008297131228,2.38494637672476
"Normal","Cycling_Basal_Myoepithelial",3,1.57812675472195,0.187346879953884,2.46523090666513
"Normal","Fibroblast_Stromal",3,0.350488288253212,0.0332667997338656,0.566826823876875
"TNBC","T-cells",10,28.9451500747547,20.2567838879033,24.346468563067
"TNBC","Cancer Epithelial",8,28.6709682095038,15.8128689487894,23.9621527426962
"TNBC","Myeloid",10,15.7133374442106,13.5270123797776,13.1880686617223
"TNBC","CAFs",10,10.6748453925717,4.31883720048087,12.3074637363857
"TNBC","Plasmablasts",5,9.25394184400838,9.29989550679206,9.41942103387831
"TNBC","PVL",10,6.08646572907013,1.92909923233687,9.99125805129743
"TNBC","B-cells",7,5.69063651992449,4.73095918897842,4.56988385535995
"TNBC","Endothelial",10,5.27749403158781,2.8586107248424,6.20116071488823
"TNBC","Normal Epithelial",6,2.92586045708458,0.9103602808071,3.74967196316209
