"dataset","subtype","patient_id","celltype","cell_count","total_cells","percentage"
"GSE113196_Normal","Normal","""Ind4","Basal_Epithelial",118,4080,2.8921568627451
"GSE113196_Normal","Normal","""Ind4","Cycling_Basal_Myoepithelial",5,4080,0.122549019607843
"GSE113196_Normal","Normal","""Ind4","Fibroblast_Stromal",41,4080,1.00490196078431
"GSE113196_Normal","Normal","""Ind4","Luminal_Epithelial",1006,4080,24.656862745098
"GSE113196_Normal","Normal","""Ind4","Luminal_Epithelial_Cycling",40,4080,0.980392156862745
"GSE113196_Normal","Normal","""Ind4","Luminal_Secretory",1592,4080,39.0196078431373
"GSE113196_Normal","Normal","""Ind4","Myoepithelial",1235,4080,30.2696078431373
"GSE113196_Normal","Normal","""Ind4","Myoepithelial_Basal",43,4080,1.05392156862745
"GSE113196_Normal","Normal","""Ind5","Basal_Epithelial",1501,6939,21.6313589854446
"GSE113196_Normal","Normal","""Ind5","Cycling_Basal_Myoepithelial",13,6939,0.187346879953884
"GSE113196_Normal","Normal","""Ind5","Luminal_Epithelial",1499,6939,21.6025363885286
"GSE113196_Normal","Normal","""Ind5","Luminal_Epithelial_Cycling",68,6939,0.979968295143392
"GSE113196_Normal","Normal","""Ind5","Luminal_Secretory",826,6939,11.9037325263006
"GSE113196_Normal","Normal","""Ind5","Myoepithelial",1356,6939,19.5417207090359
"GSE113196_Normal","Normal","""Ind5","Myoepithelial_Basal",1674,6939,24.124513618677
"GSE113196_Normal","Normal","""Ind5","Unresolved_Singleton",2,6939,0.0288225969159821
"GSE113196_Normal","Normal","""Ind6","Basal_Epithelial",2544,6012,42.315369261477
"GSE113196_Normal","Normal","""Ind6","Cycling_Basal_Myoepithelial",266,6012,4.42448436460413
"GSE113196_Normal","Normal","""Ind6","Fibroblast_Stromal",2,6012,0.0332667997338656
"GSE113196_Normal","Normal","""Ind6","Luminal_Epithelial",835,6012,13.8888888888889
"GSE113196_Normal","Normal","""Ind6","Luminal_Epithelial_Cycling",107,6012,1.77977378576181
"GSE113196_Normal","Normal","""Ind6","Luminal_Secretory",783,6012,13.0239520958084
"GSE113196_Normal","Normal","""Ind6","Myoepithelial",895,6012,14.8868928809049
"GSE113196_Normal","Normal","""Ind6","Myoepithelial_Basal",580,6012,9.64737192282102
"GSE113196_Normal","Normal","""Ind7","Basal_Epithelial",11,7521,0.14625714665603
"GSE113196_Normal","Normal","""Ind7","Fibroblast_Stromal",1,7521,0.0132961042414573
"GSE113196_Normal","Normal","""Ind7","Luminal_Epithelial",5831,7521,77.5295838319372
"GSE113196_Normal","Normal","""Ind7","Luminal_Epithelial_Cycling",448,7521,5.95665470017285
"GSE113196_Normal","Normal","""Ind7","Luminal_Secretory",316,7521,4.20156894030049
"GSE113196_Normal","Normal","""Ind7","Myoepithelial",909,7521,12.0861587554846
"GSE113196_Normal","Normal","""Ind7","Myoepithelial_Basal",5,7521,0.0664805212072863
"GSE176078_Tumor","ER_Positive","CID3941","B-cells",51,575,8.8695652173913
"GSE176078_Tumor","ER_Positive","CID3941","CAFs",4,575,0.695652173913043
"GSE176078_Tumor","ER_Positive","CID3941","Cancer Epithelial",161,575,28
"GSE176078_Tumor","ER_Positive","CID3941","Endothelial",44,575,7.65217391304348
"GSE176078_Tumor","ER_Positive","CID3941","Myeloid",27,575,4.69565217391304
"GSE176078_Tumor","ER_Positive","CID3941","PVL",25,575,4.34782608695652
"GSE176078_Tumor","ER_Positive","CID3941","T-cells",263,575,45.7391304347826
"GSE176078_Tumor","ER_Positive","CID3948","B-cells",80,2232,3.584229390681
"GSE176078_Tumor","ER_Positive","CID3948","CAFs",15,2232,0.672043010752688
"GSE176078_Tumor","ER_Positive","CID3948","Cancer Epithelial",253,2232,11.3351254480287
"GSE176078_Tumor","ER_Positive","CID3948","Endothelial",83,2232,3.71863799283154
"GSE176078_Tumor","ER_Positive","CID3948","Myeloid",119,2232,5.33154121863799
"GSE176078_Tumor","ER_Positive","CID3948","PVL",59,2232,2.64336917562724
"GSE176078_Tumor","ER_Positive","CID3948","Plasmablasts",191,2232,8.5573476702509
"GSE176078_Tumor","ER_Positive","CID3948","T-cells",1432,2232,64.15770609319
"GSE176078_Tumor","ER_Positive","CID4040","B-cells",92,2435,3.7782340862423
"GSE176078_Tumor","ER_Positive","CID4040","CAFs",123,2435,5.05133470225873
"GSE176078_Tumor","ER_Positive","CID4040","Endothelial",201,2435,8.25462012320328
"GSE176078_Tumor","ER_Positive","CID4040","Myeloid",42,2435,1.72484599589322
"GSE176078_Tumor","ER_Positive","CID4040","PVL",414,2435,17.0020533880903
"GSE176078_Tumor","ER_Positive","CID4040","Plasmablasts",70,2435,2.87474332648871
"GSE176078_Tumor","ER_Positive","CID4040","T-cells",1493,2435,61.3141683778234
