"patient_id","subtype","Basal_Epithelial","Cycling_Basal_Myoepithelial","Fibroblast_Stromal","Luminal_Epithelial","Luminal_Epithelial_Cycling","Luminal_Secretory","Myoepithelial","Myoepithelial_Basal","Unresolved_Singleton","B-cells","CAFs","Cancer Epithelial","Endothelial","Myeloid","PVL","T-cells","Plasmablasts","Normal Epithelial"
"""Ind4","Normal",2.8921568627451,0.122549019607843,1.00490196078431,24.656862745098,0.980392156862745,39.0196078431373,30.2696078431373,1.05392156862745,0,0,0,0,0,0,0,0,0,0
"""Ind5","Normal",21.6313589854446,0.187346879953884,0,21.6025363885286,0.979968295143392,11.9037325263006,19.5417207090359,24.124513618677,0.0288225969159821,0,0,0,0,0,0,0,0,0
"""Ind6","Normal",42.315369261477,4.42448436460413,0.0332667997338656,13.8888888888889,1.77977378576181,13.0239520958084,14.8868928809049,9.64737192282102,0,0,0,0,0,0,0,0,0,0
"""Ind7","Normal",0.14625714665603,0,0.0132961042414573,77.5295838319372,5.95665470017285,4.20156894030049,12.0861587554846,0.0664805212072863,0,0,0,0,0,0,0,0,0,0
"CID3941","ER_Positive",0,0,0,0,0,0,0,0,0,8.8695652173913,0.695652173913043,28,7.65217391304348,4.69565217391304,4.34782608695652,45.7391304347826,0,0
"CID3948","ER_Positive",0,0,0,0,0,0,0,0,0,3.584229390681,0.672043010752688,11.3351254480287,3.71863799283154,5.33154121863799,2.64336917562724,64.15770609319,8.5573476702509,0
"CID4040","ER_Positive",0,0,0,0,0,0,0,0,0,3.7782340862423,5.05133470225873,0,8.25462012320328,1.72484599589322,17.0020533880903,61.3141683778234,2.87474332648871,0
"CID4067","ER_Positive",0,0,0,0,0,0,0,0,0,1.43326366079427,3.94147506718423,58.9429680501642,5.49417736637802,7.79337115556883,2.2991937891908,20.0955509107196,0,0
"CID4290A","ER_Positive",0,0,0,0,0,0,0,0,0,1.98994974874372,5.46733668341709,67.9396984924623,5.94974874371859,6.71356783919598,2.61306532663317,9.04522613065327,0,0.281407035175879
"CID4398","ER_Positive",0,0,0,0,0,0,0,0,0,0.773254491698886,4.00272913350011,0,2.27427791676143,5.07163975437799,1.93313622924721,84.1255401410052,1.81942233340914,0
"CID4461","ER_Positive",0,0,0,0,0,0,0,0,0,0,7.48792270531401,45.8937198067633,22.7053140096618,10.1449275362319,2.65700483091787,3.86473429951691,7.2463768115942,0
"CID4463","ER_Positive",0,0,0,0,0,0,0,0,0,0,2.3084025854109,58.1717451523546,7.10987996306556,9.14127423822715,2.86241920590951,18.4672206832872,0,1.93905817174515
"CID4471","ER_Positive",0,0,0,0,0,0,0,0,0,1.17373762073603,15.2341362024697,1.99290866854139,32.6568040102702,3.25223132412275,15.3319476708644,7.7026531360802,0.599095243917349,22.0564861229979
"CID4530N","ER_Positive",0,0,0,0,0,0,0,0,0,0,8.80579010856454,37.5392038600724,23.9083232810615,2.24366706875754,11.2907117008444,6.9481302774427,1.08564535585042,8.17852834740651
"CID4535","ER_Positive",0,0,0,0,0,0,0,0,0,1.13306217315514,2.76002324230099,55.4909936083672,6.10110400929692,6.56595002905288,16.7925624636839,7.90238233585125,2.643811737362,0.610110400929692
"CID3586","HER2_Positive",0,0,0,0,0,0,0,0,0,5.19927833360669,2.85386255535509,0,2.44382483188453,3.06708217155978,0.34443168771527,75.3321305560112,0,10.7593898638675
"CID3838","HER2_Positive",0,0,0,0,0,0,0,0,0,1.92678227360308,7.85163776493256,0,3.51637764932563,14.7398843930636,6.06936416184971,63.5356454720617,2.36030828516378,0
"CID3921","HER2_Positive",0,0,0,0,0,0,0,0,0,5.44802867383513,3.51254480286738,10.8960573476703,7.38351254480287,13.5483870967742,2.36559139784946,52.4014336917563,4.44444444444444,0
"CID4066","HER2_Positive",0,0,0,0,0,0,0,0,0,0.688073394495413,17.5840978593272,9.15519877675841,10.0917431192661,4.16666666666667,11.9648318042813,41.3608562691131,0,4.98853211009174
"CID45171","HER2_Positive",0,0,0,0,0,0,0,0,0,2.4295010845987,1.3882863340564,29.2407809110629,0.650759219088937,7.46203904555315,0.563991323210412,58.2646420824295,0,0
"CID3946","TNBC",0,0,0,0,0,0,0,0,0,0,27.2357723577236,0,10.9756097560976,19.1056910569106,32.7235772357724,9.95934959349593,0,0
"CID3963","TNBC",0,0,0,0,0,0,0,0,0,0,0.552807681117253,4.97526913005528,2.85132382892057,13.2964794879255,0.814663951120163,77.4803607797498,0,0.0290951411114344
"CID44041","TNBC",0,0,0,0,0,0,0,0,0,8.28625235404897,32.0621468926554,0,6.77966101694915,4.94350282485876,5.97928436911488,34.9340866290019,0,7.015065913371
"CID4465","TNBC",0,0,0,0,0,0,0,0,0,2.29885057471264,24.9738766980146,12.957157784744,20.4806687565308,14.4200626959248,11.9122257053292,2.71682340647858,9.29989550679206,0.940438871473354
"CID4495","TNBC",0,0,0,0,0,0,0,0,0,9.97136162457693,2.91590731580318,13.6552980994533,2.33012236396772,11.4032803957303,2.43426191096069,45.2225982816975,12.0671700078105,0
"CID44971","TNBC",0,0,0,0,0,0,0,0,0,4.73095918897842,7.46035872108136,9.77384975305433,2.72939953210294,8.61710423706785,1.14374837535742,56.537561736418,0.597868468936834,8.40914998700286
"CID44991","TNBC",0,0,0,0,0,0,0,0,0,1.3725814453448,4.03505870679676,52.1580949231024,0.611873656358525,3.32396229535307,0.678022159748636,14.0896312220936,23.4496444517943,0.281131139407971
"CID4513","TNBC",0,0,0,0,0,0,0,0,0,0.775054073540014,0.198269646719539,17.9704397981255,2.86589762076424,50.3424657534247,1.42393655371305,26.4239365537131,0,0
"CID4515","TNBC",0,0,0,0,0,0,0,0,0,12.3993963782696,4.60261569416499,50.8802816901408,3.01810865191147,13.7575452716298,3.09356136820926,10.5130784708249,0.85513078470825,0.880281690140845
"CID4523","TNBC",0,0,0,0,0,0,0,0,0,0,2.71164021164021,66.9973544973545,0.132275132275132,17.9232804232804,0.661375661375661,11.5740740740741,0,0
