"celltype","comparison","group1","group2","n_group1","n_group2","median_group1","median_group2","p_value","p_adj"
"B-cells","ER_Positive vs HER2_Positive","ER_Positive","HER2_Positive",8,5,1.71160670476899,2.4295010845987,0.714393037634326,0.883617459381368
"B-cells","ER_Positive vs TNBC","ER_Positive","TNBC",8,7,1.71160670476899,4.73095918897842,0.224313126511154,0.631465335813192
"B-cells","HER2_Positive vs TNBC","HER2_Positive","TNBC",5,7,2.4295010845987,4.73095918897842,0.515951696358549,0.830355862106788
"CAFs","ER_Positive vs HER2_Positive","ER_Positive","HER2_Positive",11,5,4.00272913350011,3.51254480286738,0.820753087882979,0.883617459381368
"CAFs","ER_Positive vs TNBC","ER_Positive","TNBC",11,10,4.00272913350011,4.31883720048087,0.751334312557634,0.883617459381368
"CAFs","HER2_Positive vs TNBC","HER2_Positive","TNBC",5,10,3.51254480286738,4.31883720048087,0.854239605768093,0.883617459381368
"Cancer Epithelial","ER_Positive vs HER2_Positive","ER_Positive","HER2_Positive",9,3,45.8937198067633,10.8960573476703,0.139086729760014,0.631465335813192
"Cancer Epithelial","ER_Positive vs TNBC","ER_Positive","TNBC",9,8,45.8937198067633,15.8128689487894,0.360644376148939,0.811449846335112
"Cancer Epithelial","HER2_Positive vs TNBC","HER2_Positive","TNBC",3,8,10.8960573476703,15.8128689487894,0.474958539889507,0.830355862106788
"Endothelial","ER_Positive vs HER2_Positive","ER_Positive","HER2_Positive",11,5,7.10987996306556,3.51637764932563,0.212701768301635,0.631465335813192
"Endothelial","ER_Positive vs TNBC","ER_Positive","TNBC",11,10,7.10987996306556,2.8586107248424,0.0447592945755724,0.402833651180151
"Endothelial","HER2_Positive vs TNBC","HER2_Positive","TNBC",5,10,3.51637764932563,2.8586107248424,0.759462865379934,0.883617459381368
"Myeloid","ER_Positive vs HER2_Positive","ER_Positive","HER2_Positive",11,5,5.33154121863799,7.46203904555315,0.42776753510831,0.830355862106788
"Myeloid","ER_Positive vs TNBC","ER_Positive","TNBC",11,10,5.33154121863799,13.5270123797776,0.00827421565071521,0.223403822569311
"Myeloid","HER2_Positive vs TNBC","HER2_Positive","TNBC",5,10,7.46203904555315,13.5270123797776,0.244623605126983,0.631465335813192
"PVL","ER_Positive vs HER2_Positive","ER_Positive","HER2_Positive",11,5,2.86241920590951,2.36559139784946,0.2572636553313,0.631465335813192
"PVL","ER_Positive vs TNBC","ER_Positive","TNBC",11,10,2.86241920590951,1.92909923233687,0.148860948300328,0.631465335813192
"PVL","HER2_Positive vs TNBC","HER2_Positive","TNBC",5,10,2.36559139784946,1.92909923233687,0.759462865379934,0.883617459381368
"T-cells","ER_Positive vs HER2_Positive","ER_Positive","HER2_Positive",11,5,18.4672206832872,58.2646420824295,0.112731298691452,0.631465335813192
"T-cells","ER_Positive vs TNBC","ER_Positive","TNBC",11,10,18.4672206832872,20.2567838879033,0.805324170618248,0.883617459381368
"T-cells","HER2_Positive vs TNBC","HER2_Positive","TNBC",5,10,58.2646420824295,20.2567838879033,0.0432974657793033,0.402833651180151
"Plasmablasts","ER_Positive vs HER2_Positive","ER_Positive","HER2_Positive",7,2,2.643811737362,3.40237636480411,0.883617459381368,0.883617459381368
"Plasmablasts","ER_Positive vs TNBC","ER_Positive","TNBC",7,5,2.643811737362,9.29989550679206,0.515951696358549,0.830355862106788
"Plasmablasts","HER2_Positive vs TNBC","HER2_Positive","TNBC",2,5,3.40237636480411,9.29989550679206,0.846450596876591,0.883617459381368
"Normal Epithelial","ER_Positive vs HER2_Positive","ER_Positive","HER2_Positive",5,2,1.93905817174515,7.87396098697961,0.561275836134578,0.841913754201867
"Normal Epithelial","ER_Positive vs TNBC","ER_Positive","TNBC",5,6,1.93905817174515,0.9103602808071,0.522816653919089,0.830355862106788
"Normal Epithelial","HER2_Positive vs TNBC","HER2_Positive","TNBC",2,6,7.87396098697961,0.9103602808071,0.243345009148762,0.631465335813192
