"PC","Rank","Gene","Loading"
"PC1",1,"SPARC",0.0867318670586837
"PC1",2,"IGFBP7",0.0825396630304147
"PC1",3,"CALD1",0.0819475379579066
"PC1",4,"COL1A2",0.0767550131456922
"PC1",5,"COL6A2",0.0765434779753252
"PC1",6,"SPARCL1",0.0762894382508405
"PC1",7,"IGFBP4",0.076142337125137
"PC1",8,"BGN",0.0750541599164883
"PC1",9,"COL1A1",0.0738642563388903
"PC1",10,"SERPING1",0.0731828492490738
"PC1",11,"COL3A1",0.0730208849578154
"PC1",12,"COL6A1",0.072718191272073
"PC1",13,"GSN",0.07061083674852
"PC1",14,"NNMT",0.0698743631864018
"PC1",15,"MYL9",0.0696269197096521
"PC1",16,"C1S",0.0695907110038944
"PC1",17,"TIMP3",0.0694710071153721
"PC1",18,"DCN",0.0688653398256027
"PC1",19,"PCOLCE",0.0687807582407761
"PC1",20,"FSTL1",0.0686772100230575
"PC2",1,"KRT19",0.0764978693446406
"PC2",2,"KRT18",0.0762262798335188
"PC2",3,"TYROBP",-0.076126608512444
"PC2",4,"AIF1",-0.0754798350388997
"PC2",5,"KRT8",0.0741968610215988
"PC2",6,"C1QA",-0.0736647000167727
"PC2",7,"FCER1G",-0.0734602270687604
"PC2",8,"CD68",-0.0734297638283221
"PC2",9,"C1QB",-0.0733729818944644
"PC2",10,"MS4A6A",-0.0732321084681553
"PC2",11,"C1QC",-0.0728811743431899
"PC2",12,"AZGP1",0.0726451218768658
"PC2",13,"ELF3",0.0717052001773945
"PC2",14,"CLDN4",0.0715637223741124
"PC2",15,"HLA-DPA1",-0.0704380593927778
"PC2",16,"CD74",-0.0701248851133012
"PC2",17,"FXYD3",0.0697334609626707
"PC2",18,"SPI1",-0.0697249858094699
"PC2",19,"CYBB",-0.0696319832764774
"PC2",20,"HLA-DPB1",-0.0677215699627113
"PC3",1,"C1QA",0.0744020533174952
"PC3",2,"C1QB",0.0737750303649149
"PC3",3,"MS4A7",0.073641777186893
"PC3",4,"C1QC",0.0732859577288939
"PC3",5,"CD68",0.0731344019949013
"PC3",6,"CTSB",0.0722993920415568
"PC3",7,"AIF1",0.0713644034149533
"PC3",8,"MS4A6A",0.0707003339040781
"PC3",9,"CD14",0.069903065459804
"PC3",10,"GRN",0.0696658726781814
"PC3",11,"SERPINA1",0.068802473681521
"PC3",12,"CST3",0.0680688748397732
"PC3",13,"FCGR2A",0.0679470401528794
"PC3",14,"CYBB",0.0676376405380936
"PC3",15,"SPI1",0.0668613047920536
"PC3",16,"CSF1R",0.0663673010400108
"PC3",17,"CTSZ",0.0662255155336333
"PC3",18,"PSAP",0.0659888613417596
"PC3",19,"TYROBP",0.0659228565603378
"PC3",20,"LYZ",0.065828264319127
"PC4",1,"RAMP2",-0.101663002334845
"PC4",2,"PLVAP",-0.100345299480646
"PC4",3,"VWF",-0.0995850957126445
"PC4",4,"EMCN",-0.0995182190308522
"PC4",5,"ADGRL4",-0.0986050020719056
"PC4",6,"CLEC14A",-0.0963950132040324
"PC4",7,"AQP1",-0.0959544234214975
"PC4",8,"PECAM1",-0.0933637578126766
"PC4",9,"EGFL7",-0.0916534858522272
"PC4",10,"RAMP3",-0.0912037644819841
"PC4",11,"CLDN5",-0.0893658001799561
"PC4",12,"CYYR1",-0.0884345257137409
"PC4",13,"CXorf36",-0.0883694824749607
"PC4",14,"ESAM",-0.0865162853142835
"PC4",15,"PALMD",-0.0850170382758957
"PC4",16,"CDH5",-0.0846412843185199
"PC4",17,"MMRN2",-0.0843213270719381
"PC4",18,"PTPRB",-0.0839406766282446
"PC4",19,"ACKR1",-0.083291270880572
"PC4",20,"CD34",-0.0825341134633373
"PC5",1,"AGR3",-0.0886425675215745
"PC5",2,"UBE2C",0.086699670289377
"PC5",3,"BIRC5",0.0855398704255653
