"celltype","comparison","genes_tested","significant_FDR05","significant_FDR05_logFC1","upregulated","downregulated"
"Basal_Epithelial","ER_Positive vs Normal",12638,1160,1160,734,426
"Basal_Epithelial","HER2_Positive vs ER_Positive",11066,0,0,0,0
"Basal_Epithelial","HER2_Positive vs Normal",10695,170,170,126,44
"Basal_Epithelial","TNBC vs ER_Positive",12428,1,1,0,1
"Basal_Epithelial","TNBC vs HER2_Positive",12282,0,0,0,0
"Basal_Epithelial","TNBC vs Normal",13323,205,205,43,162
"Luminal_Epithelial","ER_Positive vs Normal",15007,3853,3776,1944,1832
"Luminal_Epithelial","HER2_Positive vs ER_Positive",13378,140,140,96,44
"Luminal_Epithelial","HER2_Positive vs Normal",13061,461,461,221,240
"Luminal_Epithelial","TNBC vs ER_Positive",11665,622,598,344,254
"Luminal_Epithelial","TNBC vs HER2_Positive",12308,4,4,1,3
"Luminal_Epithelial","TNBC vs Normal",12543,130,130,61,69
