"gene","celltype","group1","group2","comparison","logFC","logCPM","F","PValue","FDR","direction"
"MTHFD1L","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",6.08934709742265,2.95528787526116,47.0497818197888,5.71746678641789e-07,0.00252798640882786,"TNBC_higher"
"CDCA7","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",5.51379576155475,2.87131602988754,46.6565223484332,5.73862810520906e-07,0.00252798640882786,"TNBC_higher"
"CDC20","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",3.87309896923268,3.1470122715432,44.8231146448355,7.31904584615762e-07,0.00252798640882786,"TNBC_higher"
"PSAT1","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",7.67680082817897,4.2534147900033,44.7412422026579,8.66862034745946e-07,0.00252798640882786,"TNBC_higher"
"USB1","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",2.45222365179067,4.69790433470709,46.4467972093966,1.2981692827691e-06,0.00274929690948151,"TNBC_higher"
"RGS11","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",-4.51028262579926,3.14951532101538,39.3827143574449,1.50442998387065e-06,0.00274929690948151,"ER_Positive_higher"
"SSH3","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",-1.70298350098919,4.57916589633178,44.6296491884175,1.7465946330498e-06,0.00274929690948151,"ER_Positive_higher"
"PGM1","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",1.83580576771811,5.26765874024169,43.7881576940575,2.05890732081745e-06,0.00274929690948151,"TNBC_higher"
"SLC16A6","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",-4.6120058674209,3.38532285417966,37.3423267898288,2.31867873969142e-06,0.00274929690948151,"ER_Positive_higher"
"BAG2","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",4.29307802891368,3.57616850427171,38.5805270810134,2.3568769048277e-06,0.00274929690948151,"TNBC_higher"
"CENPW","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",3.98223107507415,5.22191481579295,39.2056423446587,3.81575228358123e-06,0.00404643185345227,"TNBC_higher"
"PLIN5","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",-5.63590403130635,3.94661593238447,34.2905086042059,4.1728283232222e-06,0.00405633686586558,"ER_Positive_higher"
"NFATC4","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",-5.07221806871719,4.49687394202698,34.581963216895,4.8381495380103e-06,0.00409303085401854,"ER_Positive_higher"
"CCNB2","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",3.82875339076207,2.48685987168447,34.1595794342627,4.98498676481375e-06,0.00409303085401854,"TNBC_higher"
"EME2","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",-2.65063133686511,2.58364188420066,34.5014236626321,5.2632201294709e-06,0.00409303085401854,"ER_Positive_higher"
"CHEK1","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",2.82299596806692,2.7766457489008,34.0328563101801,6.74902445469037e-06,0.00476439774301556,"TNBC_higher"
"MCCC2","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",-2.18451093220503,5.88977889790045,36.5752456227852,6.94340005411613e-06,0.00476439774301556,"ER_Positive_higher"
"MRAS","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",4.41369695296325,3.5675695525175,32.386384198035,8.00487934060185e-06,0.00493926382433202,"TNBC_higher"
"ENO1","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",2.50660374868828,8.79434146268087,35.7743052546462,8.04509324151808e-06,0.00493926382433202,"TNBC_higher"
"HOXB-AS1","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",-3.13912030737491,2.98671222662701,30.7392320056237,1.1810302866259e-05,0.00674920314119894,"ER_Positive_higher"
"CERS2","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",-1.26228238403797,6.60891621921492,33.5681579928164,1.21503014115026e-05,0.00674920314119894,"ER_Positive_higher"
"UPP1","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",3.75111107873553,4.70910524361508,31.9929477148067,1.40041048621545e-05,0.0070248761460066,"TNBC_higher"
"MSN","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",2.51263112234175,4.54396135946612,32.5396620841013,1.40256402500254e-05,0.0070248761460066,"TNBC_higher"
"F7","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",-3.98348352663809,1.42485893699186,28.1231981972131,1.46860381337452e-05,0.0070248761460066,"ER_Positive_higher"
"ACTR3B","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",3.11830748903598,4.9311181625977,32.0334111390384,1.53015496081979e-05,0.0070248761460066,"TNBC_higher"
"GREB1L","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",-4.29775825209232,2.36584417199415,28.1885720545954,1.60349691355498e-05,0.0070248761460066,"ER_Positive_higher"
"MXRA8","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",-4.30546561902841,3.19023573443363,28.5701853935034,1.64747632110429e-05,0.0070248761460066,"ER_Positive_higher"
