"gene","celltype","group1","group2","comparison","logFC","logCPM","F","PValue","FDR","direction"
"C15orf62","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-5.49646960281425,2.58080122107169,49.0397649156739,8.31114237488157e-07,0.0038697070511023,"Normal_higher"
"IL24","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-5.89972069644492,2.07342874059531,47.2869946622552,1.01107762864527e-06,0.0038697070511023,"Normal_higher"
"RNASE7","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-6.0924050127467,1.95994094967101,46.7427028740794,1.18909974936722e-06,0.0038697070511023,"Normal_higher"
"LINC01564","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-6.453759718106,1.51017419538171,50.5920515039528,1.46885118824692e-06,0.0038697070511023,"Normal_higher"
"NR4A1","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",5.23703168302091,6.79355063642572,59.0266162003431,1.75258837201054e-06,0.0038697070511023,"TNBC_higher"
"BEST1","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-4.06800512665313,5.4140705020425,56.8758401876079,1.85109162932423e-06,0.0038697070511023,"Normal_higher"
"RBPMS-AS1","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-4.39819556943544,3.26629272638764,42.0573521127868,3.85644498623957e-06,0.0061552541192399,"Normal_higher"
"TLR2","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-5.20597869531376,3.83870956536073,41.3167007876028,4.02159475796362e-06,0.0061552541192399,"Normal_higher"
"TCN1","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-6.27139648224333,5.11629600104523,41.6379603171825,4.4165898966084e-06,0.0061552541192399,"Normal_higher"
"LUCAT1","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-5.18548702308614,3.48724336135956,39.0032408040945,5.1820218283011e-06,0.00649980997923807,"Normal_higher"
"ALDH1A3","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-5.00220150385955,6.26891757076474,44.6742055165309,7.59301466498741e-06,0.008658107540267,"Normal_higher"
"OLFM4","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-7.76562350661412,6.06789466042603,36.059763372884,8.9424767004334e-06,0.00902665412447915,"Normal_higher"
"EGR4","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",5.74474474168071,1.48320967602882,37.3483380594375,9.35553724134807e-06,0.00902665412447915,"TNBC_higher"
"KRT23","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-5.94753468403032,7.40318881132576,42.0494282797424,1.10391948514269e-05,0.00914427557835739,"Normal_higher"
"IL2RG","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",8.82860959386196,3.45634254197951,35.4954323242628,1.15687685802164e-05,0.00914427557835739,"TNBC_higher"
"LUM","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",6.37607615675194,1.30656350929579,34.2329824749863,1.19320672755554e-05,0.00914427557835739,"TNBC_higher"
"LAPTM5","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",9.26307090057538,4.08878119128268,35.1189176929091,1.23935808683788e-05,0.00914427557835739,"TNBC_higher"
"OSMR","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-3.08760203269824,5.16732836162201,40.5095045609428,1.40533377121059e-05,0.00933673640817291,"Normal_higher"
"VNN1","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-6.0067825762666,4.60911493843233,33.9665331080717,1.41431867779068e-05,0.00933673640817291,"Normal_higher"
"AIF1","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",7.81485967734235,1.75579045765795,34.45892005458,1.55422787594108e-05,0.00974734012396448,"TNBC_higher"
"IGFBP3","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-5.44082094720779,6.34169510751216,37.2403481902955,1.97842454077791e-05,0.0118168471499892,"Normal_higher"
"SERPINB7","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-6.89170050463499,5.23661843975341,30.8085362988746,2.3853620168042e-05,0.0135998162621705,"Normal_higher"
"KCCAT211","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-4.62232838386614,3.61504307574456,31.1701724100636,2.64832810797065e-05,0.0144425997644678,"Normal_higher"
"GNLY","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",8.97383972318461,3.33572062183446,30.6354536305994,2.9102256705592e-05,0.0148434569116575,"TNBC_higher"
"PRR34-AS1","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-3.10800318789083,4.63333025654626,34.9393277167463,2.95851409384866e-05,0.0148434569116575,"Normal_higher"
"CCK","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-5.45502242225156,3.28135664849244,28.6299728452524,3.2889910151491e-05,0.0150933784607568,"Normal_higher"
