"gene","celltype","group1","group2","comparison","logFC","logCPM","F","PValue","FDR","direction"
"THEMIS2","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-6.41422893440077,2.73122346819334,163.847982545007,7.40080493254851e-11,4.87264881808778e-07,"Normal_higher"
"C5orf46","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-9.59371647478133,4.52611703239785,142.363391055264,8.54912743918212e-11,4.87264881808778e-07,"Normal_higher"
"ADGRF1","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-8.71687766800648,3.53097151513784,138.815303937807,9.74075195193132e-11,4.87264881808778e-07,"Normal_higher"
"G0S2","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-7.82267065738738,5.14601529167719,145.253038034122,1.43487103631735e-10,4.94710064372136e-07,"Normal_higher"
"PI3","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-14.0719089286433,9.67927731219992,142.488726699886,1.81009890636142e-10,4.94710064372136e-07,"Normal_higher"
"C6orf15","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-8.92600021144919,2.6857371796326,142.872435474492,2.12188756204173e-10,4.94710064372136e-07,"Normal_higher"
"KRT16","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-8.28068149039492,6.43933588634781,130.654621130129,2.30757010102283e-10,4.94710064372136e-07,"Normal_higher"
"KLK6","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-9.45335707127526,4.50912701742883,126.668565633551,2.75311142923992e-10,5.16449290232543e-07,"Normal_higher"
"CXCL5","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-10.7461100127156,4.66044777051286,127.90685492574,3.55009936572947e-10,5.91959346461134e-07,"Normal_higher"
"VNN1","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-10.2907794400231,4.557217337415,108.025968494062,1.05825404022574e-09,1.46176769965443e-06,"Normal_higher"
"S100A2","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-9.52625059663817,7.61611902155502,109.962889436671,1.07146296369686e-09,1.46176769965443e-06,"Normal_higher"
"TLR2","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-7.48587464912418,3.75035001401848,114.389484934473,1.55606810413885e-09,1.94599283656765e-06,"Normal_higher"
"IGF2BP2","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-8.01053029574861,3.32452700807305,102.620610843538,2.0607423176658e-09,2.26749611119017e-06,"Normal_higher"
"LYN","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-7.32414406345643,4.36862006332406,107.897288207204,2.11534254392366e-09,2.26749611119017e-06,"Normal_higher"
"CLDN10","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-9.90750952854343,3.26844446563496,118.746279186179,2.58083949578386e-09,2.58204388754856e-06,"Normal_higher"
"S100A3","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-6.88924028841419,2.24516470209568,97.9947985314459,3.1151631923857e-09,2.82796583191465e-06,"Normal_higher"
