"gene","celltype","group1","group2","comparison","logFC","logCPM","F","PValue","FDR","direction"
"LRRC26","Basal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",9.85286689647117,4.49568573244362,134.201559700668,1.72748969550316e-07,0.00109160073858845,"ER_Positive_higher"
"IQGAP2","Basal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",8.32941993088808,3.8848826361599,154.456004428696,1.54854910969462e-07,0.00109160073858845,"ER_Positive_higher"
"CYP4X1","Basal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",8.7513137663007,3.37547624198577,82.5800570930495,1.90998659811577e-06,0.00149923369203275,"ER_Positive_higher"
"ANKRD30A","Basal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",8.66135328913543,5.00647532689586,93.3950782904938,1.68766352323866e-06,0.00149923369203275,"ER_Positive_higher"
"HMGA2","Basal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-7.91368805601987,3.05359236013604,93.563536876432,1.569808445988e-06,0.00149923369203275,"Normal_higher"
"NR4A1","Basal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",7.89871356544092,7.41262090724476,93.8726288293968,7.29431678088517e-07,0.00149923369203275,"ER_Positive_higher"
"CRABP1","Basal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",7.71931223205372,4.98197663983937,76.7486520345152,2.59640944535454e-06,0.00149923369203275,"ER_Positive_higher"
"ATP6V1B1","Basal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",7.23768391015231,3.76808982684967,93.2190399869206,1.62539238893828e-06,0.00149923369203275,"ER_Positive_higher"
"PRLR","Basal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",7.14507233923651,4.00492178997255,82.9992965332032,2.26931637586821e-06,0.00149923369203275,"ER_Positive_higher"
"MUC15","Basal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",7.09567590491181,3.57405502429275,88.0751530356818,2.1957314550207e-06,0.00149923369203275,"ER_Positive_higher"
"C4orf19","Basal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",6.80733896176174,1.99898108960247,80.9634442258292,2.84709674068571e-06,0.00149923369203275,"ER_Positive_higher"
"TMEM176A","Basal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",6.67408874047482,3.80653784388433,78.3552507450289,2.5371635283795e-06,0.00149923369203275,"ER_Positive_higher"
"SELENBP1","Basal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",6.33351499016801,4.82826443981474,92.1888876900904,4.84108667817496e-07,0.00149923369203275,"ER_Positive_higher"
"ANPEP","Basal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",6.30662917826996,4.48776617962304,67.2786748606693,2.75666629510647e-06,0.00149923369203275,"ER_Positive_higher"
"BNIPL","Basal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",6.25330222848853,3.56543503574379,88.3227370610549,1.2395633882329e-06,0.00149923369203275,"ER_Positive_higher"
