patient_id,median_nFeature_RNA,median_nCount_RNA,median_percent_mito,cell_count
CID4471,1842,5041,7.74705721324938,8609
CID44971,1303,3199,5.43269458223827,7986
CID4495,1228,3297,4.82630601962344,7985
CID44991,1674,5771,9.00523560209424,7023
CID3586,823.5,2088.5,3.99184757684094,6178
CID4290A,1731,5081,9.91854336367992,5789
CID4513,2008,5858,4.38317426652527,5619
CID4066,1069,2532,3.57806691449814,5309
CID4398,533,1520,3.64963503649635,4451
CID4530N,2390,7835,5.43515651874785,4409
CID4515,2054,6576,4.28158803873818,4149
CID4535,2329,8818,6.97024546695881,3961
CID4067,1329.5,3011,7.56626491154097,3764
CID3963,1093,2654,2.98762270593256,3527
CID3921,1156.5,3301,5.2323523496259,3024
CID4040,1627,5505,6.82785299806576,2531
CID45171,913,2222,3.24607329842932,2447
CID3838,2131,6741,7.42422023722361,2353
CID3948,602,1309,4.09771473601261,2327
CID44041,998,2689,2.76138777436866,2131
CID4523,1409.5,4900,1.03665323354443,1754
CID4465,409.5,664,2.79220750898496,1564
CID4463,1944,5415,4.3228960289947,1138
CID3946,421,682,4.40294048678323,774
CID3941,823,2199,4,631
CID4461,491,769,3.44827586206897,631
