patient_id,total,passed,retention_percent
CID4465,1564,957,61.19
CID3946,774,492,63.57
CID4461,631,414,65.61
CID4290A,5789,4975,85.94
CID44991,7023,6047,86.1
CID4523,1754,1512,86.2
CID4535,3961,3442,86.9
CID3838,2353,2076,88.23
CID4067,3764,3349,88.97
CID3941,631,575,91.13
CID3921,3024,2790,92.26
CID4530N,4409,4145,94.01
CID45171,2447,2305,94.2
CID4471,8609,8179,95.01
CID4463,1138,1083,95.17
CID4515,4149,3976,95.83
CID3948,2327,2232,95.92
CID4495,7985,7682,96.21
CID4040,2531,2435,96.21
CID44971,7986,7694,96.34
CID3963,3527,3437,97.45
CID4066,5309,5232,98.55
CID3586,6178,6097,98.69
CID4513,5619,5548,98.74
CID4398,4451,4397,98.79
CID44041,2131,2124,99.67
